"NO","CASE TYPES","USER GROUPING_NEW","USER GROUPING_OLD","SEGMENT","PRODUCT","SUB PRODUCT","CASE CATEGORY","CASE DESCRIPTION","NEW CASE DESCRIPTION","REQUIRED SUB-DESCRIPTION","SUB","DOC INTAKE","LIST KEBUTUHAN DOKUMEN","SUGGESTION","SUGGESTION - BREAKDOWN","LEVEL OF EFFORT","RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)","BRI NOTES","TEAM NAME","T1 - AGENT CCT/FRONTLINER","T2.1 - SUPPORTING UNIT","T2.2 - SUPPORTING UNIT","T2.3 - SUPPORTING UNIT","T3.1 - PRODUCT OWNER","T3.2 - PRODUCT OWNER","T3.3 - PRODUCT OWNER","T4.1 - TECHNICAL TEAM","T4.2 - TECHNICAL TEAM","T4.3 - TECHNICAL TEAM","T5.1 - THIRD PARTY","T5.2 - THIRD PARTY","T5.3 - THIRD PARTY","TOTAL SLA","NEW SLA","STATUS","GIC","MAKER","CHECKER","SIGNER","COURTESY AWAL","KEBUTUHAN DATA","JENIS PRODUK DAN ATAU LAYANAN LKPBU","KATEGORI PERMASALAHAN LKPBU","JENIS TRANSAKSI LKPBU","PENYEBAB PENGADUAN LKPBU","JENIS PRODUK LBUT","SANDI JENIS  PRODUK LBUT","SEBAB PENGADUAN LBUT","SANDI PENYEBAB LBUT","SF_ID","EXTERNAL_ID","ERROR"
"193.0","8441","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah ATM Bersama gagal transfer & terdebet ke BRI","Nasabah Jaringan BERSAMA Gagal Transfer ke BRI dan Saldo Berkurang","0.0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","1.0","10.0","","T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)","1.0","3.0","5.0","","","","","","","","","","","9.0","8.0","","LCC-ACQ","Agent","Supervisor","Manager","1B","Regular Banking","ATM","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Transfer Dana","RM","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","a1DMR00000009dz2AA","193.0-8441","Customer Segment: bad value for restricted picklist field: All"
"194.0","8442","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah ATM Prima gagal transfer & terdebet ke BRI","Nasabah Jaringan PRIMA Gagal Transfer ke BRI dan Saldo Berkurang","0.0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","0.0","10.0","","T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)","1.0","3.0","5.0","","","","","","","","","","","9.0","8.0","","LCC-ACQ","Agent","Supervisor","Manager","1B","Regular Banking","ATM","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Transfer Dana","RM","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","a1DMR00000009e02AA","194.0-8442","Customer Segment: bad value for restricted picklist field: All"
"195.0","8443","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah ATM Himbara gagal transfer & terdebet ke BRI","Nasabah Jaringan HIMBARA Gagal Transfer ke BRI dan Saldo Berkurang","0.0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","0.0","10.0","","T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)","1.0","3.0","5.0","","","","","","","","","","","9.0","8.0","","LCC-ACQ","Agent","Supervisor","Manager","1B","Regular Banking","ATM","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Transfer Dana","RM","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","a1DMR00000009e12AA","195.0-8443","Customer Segment: bad value for restricted picklist field: All"
"196.0","8445","Resolution Center","Service & Contact Center - CCT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Sanggahan Transaksi Koreksi ( Korr )","Nasabah Komplain Terkait Transaksi Koreksi","0.0","","0","","Move to Resolution Center","Move to CCT","Low","3 ~ 5","3.0","3.0","Agent Leader agar dapat diberikan akses ke MASPro untuk melakukan identifikasi remarks Koreksi, sekaligus dictionary remarks koreksi, agar dapat di update pada WI","T2.1 - CRS","1.0","2.0","","","","","","","","","","","","3.0","2.0","","LCC-CRC","","","","1B","Regular Banking","Sistem Pembayaran Lainnya","","","Pemahaman karakteristik produk oleh Konsumen","Transfer Dana","RM","Produk digunakan atau data disalahgunakan oleh orang lain","30.0","a1DMR00000009e22AA","196.0-8445","Customer Segment: bad value for restricted picklist field: All"
"200.0","8501","Resolution Center","Service & Contact Center - CCT","Individu Umum, Individu Priority & Private","Servicing","Kartu Debit","Request","Pengajuan PIN baru (Pin salah)","Nasabah Menanyakan Informasi Pengajuan PIN Baru/PIN Salah","0.0","","0","","Move to Resolution Center","","Very Low","0 ~ 2","0.0","0.0","","T1 - Agent CCT/Frontliner","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","1A","Regular Banking","ATM","","","Kelalaian Konsumen","ATM dan/atau Kartu Debet","AD","Lainnya","999.0","a1DMR00000009e62AA","200.0-8501","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"237.0","8808","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Pembayaran PLN Prabayar Gagal namun Saldo Terdebet","Nasabah Komplain Gagal Pembayaran PLN Prabayar & Saldo Berkurang","0.0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","1.0","6.0","","T2.1 - NFT(ISSUER), Include POD(RSP)","1.0","4.0","","","","","","","","","","","","5.0","4.0","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Top up Tidak Berhasil","120.0","a1DMR00000009h22AA","237.0-8808","Customer Segment: bad value for restricted picklist field: All"
"238.0","8809","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Pembayaran PLN Pascabayar Namun Saldo Berkurang","Nasabah Komplain Gagal Pembayaran PLN Pascabayar & Saldo Berkurang","0.0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","2.0","5.0","","T2.1 - NFT(ISSUER), Include POD(RSP)","1.0","4.0","","","","","","","","","","","","5.0","4.0","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Top up Tidak Berhasil","120.0","a1DMR00000009h32AA","238.0-8809","Customer Segment: bad value for restricted picklist field: All"
"239.0","8810","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Komplain pembayaran pajak melalui MPN Gen 2","Nasabah Komplain Gagal Pembayaran Pajak & Saldo Berkurang","0.0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","2.0","6.0","","T2.1 - NFT(ISSUER), Include POD(RSP)","1.0","4.0","","","","","","","","","","","","5.0","4.0","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","Electronic Banking","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Lainnya","XX","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","a1DMR00000009h42AA","239.0-8810","Customer Segment: bad value for restricted picklist field: All"
"240.0","8812","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah BRI gagal tarik tunai & terdebet di ATM BRI","Nasabah Komplain Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI","0.0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","4.0","3.0","","T2.1 - NFT(ON US), Include POD(RSP)","1.0","3.0","","","","","","","","","","","","4.0","3.0","","LCC-ON US","Agent","Supervisor","Manager","1B","Regular Banking","ATM","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","a1DMR00000009h52AA","240.0-8812","Customer Segment: bad value for restricted picklist field: All"
"242.0","8899","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Transfer BI-Fast Nasabah bank lain","Nasabah Bank Lain Komplain Gagal Transfer BI-Fast ke BRI dan saldo berkurang","0.0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","2.0","5.0","","T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)","1.0","2.0","3.0","","","","","","","","","","","6.0","5.0","","LCC-ACQ","Agent","Supervisor","Manager","1B","Regular Banking","Electronic Banking","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Transfer Dana","RM","Lainnya","999.0","a1DMR00000009h72AA","242.0-8899","Customer Segment: bad value for restricted picklist field: All"
"243.0","8900","Resolution Center","Service & Contact Center - CCT","All","Savings","Giro","Products / Promotion Inquiry","Giro","Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Giro","0.0","","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","0.0","7.0","Segmen harus diubah (tidak ada yang nanya ttg giro individu)","T1 - Agent CCT/Frontliner","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","1A","Regular Banking","Giro","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Daftar Hitam Nasional (DHN) dan Cek/Bilyet Giro","DH","Bunga/Biaya Lainnya","90.0","a1DMR00000009jm2AA","243.0-8900","Customer Segment: bad value for restricted picklist field: All"
"247.0","8906","Resolution Center","Service & Contact Center - DPR","Individu","Servicing","PPID","Inquiry","PPID","Nasabah menghubungi meminta informasi publik seputar BRI","0.0","","0","","","","","","2.0","2.0","Done","T2.1 - DPR","1.0","2.0","","","","","","","","","","","","3.0","2.0","","LCC-DPR","","","","1B","Regular Banking","Kredit/Pembiayaan Investasi","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Lainnya","XX","Lainnya","999.0","a1DMR00000009hB2AQ","247.0-8906","Customer Segment: bad value for restricted picklist field: Individu"
"248.0","8907","Resolution Center","Service & Contact Center - OIA","Individu","Servicing","Taspen","Request","Taspen","TIket Internal OIA meminta Branch melakukan LKN ke Peserta Taspen untuk Otentifikasi","0.0","","0","","","","","","10.0","10.0","Tiket Internal OIA ke Branch","T2.1 - Branch (Uker)","1.0","10.0","","","","","","","","","","","","11.0","10.0","","","","","","1B","Regular Banking","","","","","","","","","a1DMR00000009hC2AQ","248.0-8907","Customer Segment: bad value for restricted picklist field: Individu"
"251.0","8915","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Gagal Setor Tunai di CRM BRI Via BRImo / Kartu Debit","Nasabah Komplain Gagal Setor Tunai dan uang tertelan di CRM BRI","1.0","1. BRIMO
2. Kartu Debit","0","","Move to Resolution Center","Stay in NFT","Medium","6 ~ 10","5.0","8.0","Sub: Menggunakan BRIMO, Kartu Debit","T2.1 - NFT(ON US), Include POD(RSP), T2.2 - Branch(Uker)","1.0","7.0","","","","","","1.0","","","","","","9.0","8.0","","LCC-ON US","Agent","Supervisor","Manager","1B","Regular Banking","ATM","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","a1DMR00000009hE2AQ","251.0-8915","Customer Segment: bad value for restricted picklist field: All"
"255.0","8925","Resolution Center","Service & Contact Center - CRS","All","Servicing","Informasi Promo, Program, Produk","Products / Promotion Inquiry","Promo dan program BRI","Nasabah Menanyakan Syarat & Ketentuan Promo & Program BRI","0.0","","0","","Move to Resolution Center","Move to CCT","Low","3 ~ 5","2.0","5.0","Add new call type: complaint ttg promo & program BRI (T2.1 - CRS(1 day), T2.2 - FST","T2.1 - CRS, Include FST","1.0","5.0","","","","","","","","","","","","6.0","5.0","","RPT-ACQ","","","","1B","Regular Banking","Sistem Pembayaran Lainnya","","","Pemahaman karakteristik produk oleh Konsumen","Lainnya","XX","Lainnya","999.0","a1DMR00000009hI2AQ","255.0-8925","Customer Segment: bad value for restricted picklist field: All"
"291.0","8603-1","Application & Operations","Service & Contact Center - CRS","Individu Umum, UMKM","Servicing","Internet Banking","Complaint - Non-Transaction","Nasabah Komplain Terkait Penggunaan Aplikasi IBBIZ","Nasabah Komplain Terkait Penggunaan Aplikasi IBBIZ","0.0","","0","","No Change","","Very Low","0 ~ 2","0.0","0.0","New Case Type -","T2.1 - CRS, T4.1 - APP(SDK)","1.0","1.0","","","","","","3.0","","","","","","5.0","4.0","","","","","","1B","Regular Banking","","","","","","","","","a1DMR00000009hi2AA","291.0-8603-1","Customer Segment: bad value for restricted picklist field: Individu Umum, UMKM"
"292.0","8925-1","Resolution Center","Service & Contact Center - CRS","All","Servicing","Informasi Promo, Program, Produk","Complaint - Non-Transaction","Nasabah Komplain Terkait Promo & Program BRI","Nasabah Komplain Terkait Promo & Program BRI","0.0","","0","","No Change","","Very Low","0 ~ 2","0.0","0.0","New Case Type -","T2.1 - CRS, Include FST","1.0","5.0","","","","","","","","","","","","6.0","5.0","","","","","","1B","Regular Banking","","","","","","","","","a1DMR00000009hj2AA","292.0-8925-1","Customer Segment: bad value for restricted picklist field: All"
"34.0","1710","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Permintaan Cicilan Promo","Nasabah Mengajukan Cicilan Promo","0.0","","0","","Move to Resolution Center","Propose to Delete","Very Low","0 ~ 2","0.0","7.0","Proposed to embed into 1707","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-OPS-MSU","","","","n.a","","Kartu Kredit","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","","34.0-1710","Id not specified in an update call"
"39.0","1716","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Permintaan Cicilan 12 bln (Bring 12 bln)","Nasabah Mengajukan Cicilan 12 Bulan","0.0","","0","","Move to Resolution Center","Propose to Delete","Very Low","0 ~ 2","0.0","7.0","Proposed to embed into 1707","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-OPS-MSU","","","","n.a","","","","","","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","","39.0-1716","Id not specified in an update call"
"56.0","2203","Resolution Center","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Permintaan blokir Kartu Kredit karena transaksi mencurigakan","Nasabah Mengajukan Pemblokiran Kartu Kredit Karena Sanggahan Transaksi","0.0","","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","1.0","0.0","Tidak dipakai Agent, langsung ke BO tapi akan dibuat ke 2201","","1.0","","","","1.0","1.0","3.0","","","","","","","6.0","5.0","","KKD-CRI-DATAM","","","","n.a","","","","","","Kartu Kredit","KK","Produk digunakan atau data disalahgunakan oleh orang lain","30.0","","56.0-2203","Id not specified in an update call"
"91.0","4214","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Perubahan No HP/TLP pada Kartu Kredit Utama","Nasabah Mengajukan Perubahan No HP/TLP pada Kartu Kredit Utama","0.0","","1","1. surat pernyataan
2. ktp
3. kartu kredit","Move to Resolution Center","","Medium","6 ~ 10","6.0","3.0","Proposed to merge with 4204","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-AKK-PLTNM","","","","n.a","","Kartu Kredit","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","","91.0-4214","Id not specified in an update call"
"97.0","4306","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Kartu Kredit Rusak / Salah Nama","Nasabah Komplain Kartu Kredit Rusak/Salah Nama","0.0","","1","","Move to Resolution Center","","Medium","6 ~ 10","7.0","1.0","Proposed to merge with 2201 (kartu rusak) & salah nama (4202)","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-CRI-DATAM","","","","n.a","","Kartu Kredit","","","Kelalaian Konsumen","Kartu Kredit","KK","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","97.0-4306","Id not specified in an update call"
"126.0","7300","Resolution Center","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Inquiry","Biaya,Bunga, dan Biaya Keterlambatan (Kartu Kredit)","Nasabah Komplain Biaya, Bunga, dan Biaya Keterlambatan Kartu Kredir","0.0","","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","0.0","3.0","Proposed to merge with 5100","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-OPS-MSU","","","","n.a","","Kartu Kredit","","","Perubahan / pemutusan akad / perjanjian / kontrak","Kartu Kredit","KK","Bunga/Biaya Lainnya","90.0","","126.0-7300","Id not specified in an update call"
"","8116","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Complaint - Transaction","Qlola Cash & Trade Telkom","Nasabah komplain terkait pembayaran telkom yang belum diterima","","","1","","","Propose to Delete","","","3.0","3.0","Done","","1.0","","","","3.0","","","","","","","","","4.0","3.0","","TRB","","","","n.a","","Sistem Pembayaran Lainnya","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","E - Commerce","EC","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","nan-8116","Id not specified in an update call"
"","8117","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Complaint - Transaction","Qlola Cash & Trade Cellular","Nasabah komplain terkait pembayaran pasca bayar cellular yang belum diterima","","","1","","","Propose to Delete","","","3.0","3.0","Done","","1.0","","","","3.0","","","","","","","","","4.0","3.0","","TRB","","","","n.a","","","","","","E - Commerce","EC","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","nan-8117","Id not specified in an update call"
"","8119","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Complaint - Transaction","Qlola Cash & Trade Pembayaran Semen Indonesia (Khusus Nasabah)","Nasabah komplain terkait pembayaran Semen Indonesia (Khusus Nasabah) yang belum diterima","","","1","","","Propose to Delete","","","3.0","3.0","Done","","1.0","","","","3.0","","","","","","","","","4.0","3.0","","TRB","","","","n.a","","","","","","E - Commerce","EC","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","nan-8119","Id not specified in an update call"
"","8120","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Complaint - Transaction","Qlola Cash & Trade Pupuk Indonesia (Khusus Nasabah)","Nasabah komplain terkait pembayaran Pupuk Indonesia (Khusus Nasabah) yang belum diterima","","","1","","","Propose to Delete","","","3.0","3.0","Done","","1.0","","","","3.0","","","","","","","","","4.0","3.0","","TRB","","","","n.a","","","","","","E - Commerce","EC","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","nan-8120","Id not specified in an update call"
"","8121","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Complaint - Transaction","Qlola Cash & Trade PLN","Nasabah komplain terkait pembayaran pasca bayar PLN yang belum diterima","","","1","","","Propose to Delete","","","3.0","3.0","Done","","1.0","","","","3.0","","","","","","","","","4.0","3.0","","TRB","","","","n.a","","Sistem Pembayaran Lainnya","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","E - Commerce","EC","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","nan-8121","Id not specified in an update call"
"","8122","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Complaint - Transaction","Qlola Cash & Trade BPJS Ketenagakerjaan","Nasabah komplain terkait double pembayaran BPJS Ketenagakerjaan","","","1","","","Propose to Delete","","","3.0","3.0","Done","","1.0","","","","3.0","","","","","","","","","4.0","3.0","","TRB","","","","n.a","","","","","","E - Commerce","EC","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","nan-8122","Id not specified in an update call"
"145.0","8123","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Complaint - Transaction","Qlola Cash & Trade BPJS Kesehatan","Nasalah Komplain Terkait Double Pembayaran BPS Kesehatan","0.0","","0","","Move to Resolution Center","","Very Low","0 ~ 2","1.0","3.0","","","1.0","","","","","","","","","","","","","1.0","0.0","","TRB","","","","n.a","","Sistem Pembayaran Lainnya","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","E - Commerce","EC","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","145.0-8123","Id not specified in an update call"
"","8406","Funding & Retail Payment","Funding & Retail Payment","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Chargeback Kartu Debit yang Bertransaksi di e-Commerce","Chargeback Kartu Debit yang Bertransaksi di e-Commerce","","","0","","","","","","","","Call type internal NFT - FST","","1.0","","","","7.0","","","","","","","","","8.0","7.0","","FST-TSC","","","","n.a","","Kartu ATM/Debit/Mesin ATM","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","nan-8406","Id not specified in an update call"
"196.0","8612","Funding & Retail Payment","Funding & Retail Payment","UMKM","Transaction Banking","Merchant Solutions","Platform & Device Support","Merchant - Penarikan EDC","Unit Kerja Mengajukan Penarikan Mesin EDC Merchant","0.0","","0","","No Change","Propose to Deleted, MMS","Extremely High","21 ~ 70","21.0","7.0","","","","1.0","6.0","","1.0","","","","","","","","","8.0","7.0","","RPT-MIM","","","","n.a","","Sistem Pembayaran Lainnya","","","Perubahan / pemutusan akad / perjanjian / kontrak","E - Commerce","EC","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","","196.0-8612","Id not specified in an update call"
"197.0","8613","Funding & Retail Payment","Funding & Retail Payment","UMKM","Transaction Banking","Merchant Solutions","Request","Merchant - Penutupan TID","Unit Kerja Mengajukan Penutupan TID Mesin EDC Merchant","0.0","","0","","No Change","Propose to Deleted, MMS","Extremely High","21 ~ 70","24.0","7.0","","","","1.0","7.0","","","","","","","","","","","8.0","7.0","","RPT-MIM","","","","n.a","","Sistem Pembayaran Lainnya","","","Perubahan / pemutusan akad / perjanjian / kontrak","E - Commerce","EC","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","","197.0-8613","Id not specified in an update call"
"198.0","8614","Funding & Retail Payment","Funding & Retail Payment","UMKM","Transaction Banking","Merchant Solutions","Request","Merchant - Perubahan Implementor","Unit Kerja Mengajukan Perubahan Impementor Mesin EDC Merchant","0.0","","0","","No Change","Propose to Deleted, MMS","Extremely High","21 ~ 70","21.0","7.0","","","","1.0","1.0","","","","","","","","","","","2.0","1.0","","RPT-MIM","","","","n.a","","","","","","E - Commerce","EC","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","","198.0-8614","Id not specified in an update call"
"204.0","8621","Funding & Retail Payment","Funding & Retail Payment","UMKM","Transaction Banking","Merchant Solutions","Request","Merchant - Perubahan data","Merchant Mengajukan Perubahan Data Merchant","0.0","","0","","No Change","Propose to Deleted, MMS","Extremely High","21 ~ 70","31.0","7.0","","","1.0","","1.0","","2.0","","","","","","","","","4.0","3.0","","RPT-MIM","","","","n.a","","","","","","E - Commerce","EC","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","","204.0-8621","Id not specified in an update call"
"205.0","8622","Funding & Retail Payment","Funding & Retail Payment","UMKM","Transaction Banking","Merchant Solutions","Request","Merchant - Penutupan MID","Unit Kerja Mengajukan Penutupan MID Mesin EDC Merchant","0.0","","0","","No Change","Propose to Deleted, MMS","Extremely High","21 ~ 70","31.0","7.0","","","","1.0","7.0","","","","","","","","","","","8.0","7.0","","RPT-MIM","","","","n.a","","Sistem Pembayaran Lainnya","","","Perubahan / pemutusan akad / perjanjian / kontrak","E - Commerce","EC","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","","205.0-8622","Id not specified in an update call"
"209.0","8626","Resolution Center","Funding & Retail Payment","UMKM","Transaction Banking","Merchant Solutions","Complaint - Transaction","Merchant - Transaksi Debit BRI - Refund double posting (kendala system)","Merchant Mengajukan Refund Double Posting","0.0","","0","","Move to Resolution Center","","Extremely High","21 ~ 70","29.0","2.0","propose to embed to 8627","","1.0","","","","4.0","","","1.0","","","","","","6.0","5.0","","RPT-MCO","","","","n.a","","Sistem Pembayaran Lainnya","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","E - Commerce","EC","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","209.0-8626","Id not specified in an update call"
"","8644","Brilink Network","Brilink Network","UMKM","Transaction Banking","Merchant Solutions","Platform & Device Support","BRILink - Perangkat - Tidak dapat melakukan transaksi","Agen BRILink Komplain Tidak Dapat Melakukan Transaksi","","","0","","","Propose to Delete. Move to 8640","","","","","langsung via MMS, SLA di MMS","","","","","","","","","","","","","","","","","","BBD-ORR","","","","n.a","","","","","","","","","","","nan-8644","Id not specified in an update call"
"","8645","Brilink Network","Brilink Network","UMKM","Transaction Banking","Merchant Solutions","Platform & Device Support","BRILink - Perangkat - Kerusakan EDC/Perangkat pendukung","Agen BRILink  Komplain Kerusakan EDC/Perangkat pendukung","","","0","","","Propose to Delete. Move to 8640","","","","","langsung via MMS, SLA di MMS","","","","","","","","","","","","","","","","","","BBD-ORR","","","","n.a","","","","","","","","","","","nan-8645","Id not specified in an update call"
"221.0","8701","Resolution Center","Service & Contact Center - CCT","Individu Umum","Servicing","Kartu Debit","Request","Blokir Kartu ATM karena kartu hilang","Nasabah Mengajukan Blokir Kartu Hilang","0.0","","0","","Move to Resolution Center","","Very Low","0 ~ 2","0.0","0.0","Proposed to merge with 8405","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","n.a","","ATM","","","Kelalaian Konsumen","ATM dan/atau Kartu Debet","AD","Lainnya","999.0","","221.0-8701","Id not specified in an update call"
"252.0","8949","Resolution Center","Application & Operations","Individu Umum","Loans","KTA - Digital","Platform & Device Support","Pengajuan Briguna Digital Sistem Timeout","","0.0","","1","1. Screen Shot aplikasi briguna digital","Move to Resolution Center","Move to CCT","Medium","6 ~ 10","6.0","19.0","Proposed to merge as sub in 8940","","1.0","","","","","","","","","","","","","1.0","0.0","","DCE","","","","n.a","","Kredit Tanpa Agunan","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Lainnya","XX","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","252.0-8949","Id not specified in an update call"
"253.0","8950","Digital Banking","Application & Operations","Individu Umum","Loans","KTA - Digital","Platform & Device Support","Pengajuan Briguna Digital Wajah Tidak Terdeteksi","","0.0","","1","1. Screen Shot aplikasi briguna digital","Move to Resolution Center","","Medium","6 ~ 10","6.0","19.0","Proposed to merge as sub in 8940","","1.0","","","","","","","","","","","","","1.0","0.0","","DCE","","","","n.a","","Kredit Tanpa Agunan","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Lainnya","XX","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","253.0-8950","Id not specified in an update call"
"254.0","8951","Digital Banking","Digital Banking","UMKM","Loans","KPR, KUR, KMK, KI","Platform & Device Support","KECEKU Fitur Suplesi Otomatis KUPEDES","","0.0","","0","","No Change","Propose to Delete","Very Low","0 ~ 2","0.0","2.0","New Case Type - Perlu konfirmasi dengan Team Terkait DDB","","1.0","","","","1.0","1.0","","","","","","","","3.0","2.0","","DCE","","","","n.a","","Kredit/Pembiayaan Investasi","","","Pemahaman karakteristik produk oleh Konsumen","Lainnya","XX","Lainnya","999.0","","254.0-8951","Id not specified in an update call"
