No,Case Types,User Grouping_New,User Grouping_Old,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T2.3 - Supporting Unit,T3.1 - Product Owner,T3.2 - Product Owner,T3.3 - Product Owner,T4.1 - Technical Team,T4.2 - Technical Team,T4.3 - Technical Team,T5.1 - Third Party,T5.2 - Third Party,T5.3 - Third Party,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Jenis Produk dan atau Layanan LKPBU,Kategori Permasalahan LKPBU,Jenis Transaksi LKPBU,Penyebab Pengaduan LKPBU,Jenis Produk LBUT,Sandi Jenis  Produk LBUT,Sebab Pengaduan LBUT,Sandi Penyebab LBUT
238.0,8809,Resolution Center,Service & Contact Center - NFT,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Pembayaran PLN Pascabayar Namun Saldo Berkurang,Nasabah Komplain Gagal Pembayaran PLN Pascabayar & Saldo Berkurang,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,2.0,5.0,,"T2.1 - NFT(ISSUER), Include POD(RSP)",1.0,4.0,,,,,,,,,,,,5.0,4.0,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Top up Tidak Berhasil,120.0
239.0,8810,Resolution Center,Service & Contact Center - NFT,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Komplain pembayaran pajak melalui MPN Gen 2,Nasabah Komplain Gagal Pembayaran Pajak & Saldo Berkurang,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,2.0,6.0,,"T2.1 - NFT(ISSUER), Include POD(RSP)",1.0,4.0,,,,,,,,,,,,5.0,4.0,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,Electronic Banking,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
240.0,8812,Resolution Center,Service & Contact Center - NFT,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM BRI,Nasabah Komplain Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,4.0,3.0,,"T2.1 - NFT(ON US), Include POD(RSP)",1.0,3.0,,,,,,,,,,,,4.0,3.0,Done,LCC-ON US,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
241.0,8813,Resolution Center,Service & Contact Center - CCT,UMKM,loans,KTA,Inquiry,Mitra UMI - Pinjaman Kece,Nasabah menanyakan terkait cara pengajuan pinjaman kece,,,,,,,,,,,Done,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,,LCC-CCTCALL,,,,1A,Regular Banking,,,,,Lainnya,XX,Lainnya,999.0
242.0,8899,Resolution Center,Service & Contact Center - NFT,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Transfer BI-Fast Nasabah bank lain,Nasabah Bank Lain Komplain Gagal Transfer BI-Fast ke BRI dan saldo berkurang,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,2.0,5.0,,"T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)",1.0,2.0,3.0,,,,,,,,,,,6.0,5.0,Done,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,Electronic Banking,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Transfer Dana,RM,Lainnya,999.0
243.0,8900,Resolution Center,Service & Contact Center - CCT,All,Savings,Giro,Products / Promotion Inquiry,Giro,"Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Giro",,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,7.0,Segmen harus diubah (tidak ada yang nanya ttg giro individu),T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CCTCALL,,,,1A,Regular Banking,Giro,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Daftar Hitam Nasional (DHN) dan Cek/Bilyet Giro,DH,Bunga/Biaya Lainnya,90.0
244.0,8901,Resolution Center,Service & Contact Center - CCT,Individu Umum,Savings,Tabungan,Products / Promotion Inquiry,Tabungan,"Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Tabungan",,,,,Move to Resolution Center,Move to CCT,Low,3 ~ 5,3.0,6.0,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CRC,,,,1A,Regular Banking,Tabungan,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Bunga/Biaya Lainnya,90.0
245.0,8902,Resolution Center,Service & Contact Center - CRS,Individu Umum,Savings,Deposito,Complaint - Non-Transaction,Deposito,"Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Deposito",,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,1.0,5.0,,"T2.1 - CRS, T4.1 - APP(SDK)",1.0,1.0,,,,,,2.0,,,,,,4.0,3.0,Done,LCC-CRC,,,,1B,Regular Banking,Deposito,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Bunga/Biaya Lainnya,90.0
246.0,8905,Value Chain & Assets Product Development,Value Chain & Assets Product Development,UMKM,Servicing,Aplikasi Commodity Chain,Platform & Device Support,Platform CommodityChain,Nasabah komplain terkait aplikasi CommodityChain,,,,,,,,,7.0,7.0,Done,T3.1 - VAD,1.0,,,,7.0,,,,,,,,,8.0,7.0,,VAD,,,,1B,Regular Banking,Kredit/Pembiayaan Investasi,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
247.0,8906,Resolution Center,Service & Contact Center - DPR,Individu,Servicing,PPID,Inquiry,PPID,Nasabah menghubungi meminta informasi publik seputar BRI,,,,,,,,,2.0,2.0,Done,T2.1 - DPR,1.0,2.0,,,,,,,,,,,,3.0,2.0,,LCC-DPR,,,,1B,Regular Banking,Kredit/Pembiayaan Investasi,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
248.0,8907,Resolution Center,Service & Contact Center - OIA,Individu,Servicing,Taspen,Request,Taspen,TIket Internal OIA meminta Branch melakukan LKN ke Peserta Taspen untuk Otentifikasi,,,,,,,,,10.0,10.0,Tiket Internal OIA ke Branch,T2.1 - Branch (Uker),1.0,10.0,,,,,,,,,,,,11.0,10.0,,,,,,1B,Regular Banking,,,,,,,,
249.0,8908,Information Security,Information Security,Individu Umum,Servicing,Servicing - Layanan Contact Center,Customer Feedback / Sentiment Monitoring,Informasi dan Komplain System BRI,Nasabah Menyampaikan Informasi dan Komplain terkait Kelemahan Security dan System BRI,,,,,No Change,,Very Low,0 ~ 2,,10.0,New Case Type -,T3.1 - Information Security Division,1.0,,,,10.0,,,,,,,,,11.0,10.0,Done,,,,,1A,Regular Banking,Penyaluran Dana Lainnya,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,,,,
250.0,8912,Resolution Center,Service & Contact Center - CCT,Individu Umum,Servicing,Government Programme,Inquiry,PIP (Informasi terkait program indonesia pintar),Nasabah Menanyakan Informasi Program Pemerintah,1.0,"1. Program Indonesia Pintar
2. Keluarga Penerima Manfaat
3. Program Keluarga Harapan",,,Move to Resolution Center,,Very Low,0 ~ 2,,,"Sub: Program Indonesia Pintar, Keluarga Penerima Manfaat, Program Keluarga Harapan",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CCTNIK,,,,1A,Regular Banking,,,,,Lainnya,XX,Lainnya,999.0
251.0,8915,Resolution Center,Service & Contact Center - NFT,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Gagal Setor Tunai di CRM BRI Via BRImo / Kartu Debit,Nasabah Komplain Gagal Setor Tunai dan uang tertelan di CRM BRI,1.0,"1. BRIMO
2. Kartu Debit",,,Move to Resolution Center,Stay in NFT,Medium,6 ~ 10,5.0,8.0,"Sub: Menggunakan BRIMO, Kartu Debit","T2.1 - NFT(ON US), Include POD(RSP), T2.2 - Branch(Uker)",1.0,7.0,,,,,,1.0,,,,,,9.0,8.0,Done,LCC-ON US,Agent,Supervisor,Manager,1B,Regular Banking,ATM,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
252.0,8916,Resolution Center,Service & Contact Center - CCT,Individu Umum,Investment,Bancassurance,Products / Promotion Inquiry,Bancassurance,"Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Bancassurance",,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,20.0,"Deskripsi harus diubah, proposed to change GIC to CCT",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CRC,,,,1A,Regular Banking,Bancassurance,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
253.0,8919,Resolution Center,Service & Contact Center - CRS,Individu Umum,Savings,Tabungan,Inquiry,Bank Garansi,Nasabah menanyakan ketentuan dan jenis-jenis bank garansi,,,,,,,,,4.0,4.0,Done,T2.1 - CRS,1.0,4.0,,,,,,,,,,,,5.0,4.0,,LCC-CRC,,,,1B,Regular Banking,Bank Garansi,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
254.0,8923,Resolution Center,Service & Contact Center - CCT,Individu Umum,Servicing,Safe Deposit,Products / Promotion Inquiry,Safe Deposit,"Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Safe Deposit",,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CRC,,,,1A,Regular Banking,Safe Deposit Box,,,Pemahaman karakteristik produk oleh Konsumen,Lainnya,XX,Lainnya,999.0
255.0,8925,Resolution Center,Service & Contact Center - CRS,All,Servicing,"Informasi Promo, Program, Produk",Products / Promotion Inquiry,Promo dan program BRI,Nasabah Menanyakan Syarat & Ketentuan Promo & Program BRI,,,,,Move to Resolution Center,Move to CCT,Low,3 ~ 5,2.0,5.0,"Add new call type: complaint ttg promo & program BRI (T2.1 - CRS(1 day), T2.2 - FST","T2.1 - CRS, Include FST",1.0,5.0,,,,,,,,,,,,6.0,5.0,Done,RPT-ACQ,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,,,Pemahaman karakteristik produk oleh Konsumen,Lainnya,XX,Lainnya,999.0
256.0,8939,"Card, Digital Lending & Assset",Service & Contact Center - CCT,Individu Umum,Loans,KTA,Complaint - Transaction,Kendala Cicilan Briguna,Nasabah Komplain Terkait Permasalahan Pembayaran Tagihan BRIguna,1.0,"1. Gagal Pembayaran (Auto-payment)
2. Hold Berulang kali",,,No Change,,Low,3 ~ 5,2.0,3.0,"Sub: Gagal Pembayaran (Auto-payment), Hold Berulang kali",T3.1 - CDD(SPD CLS),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,CLS,,,,1B,Regular Banking,Kredit Tanpa Agunan,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
257.0,8940,Resolution Center,Application & Operations,Individu Umum,Loans,KTA - Digital,Platform & Device Support,Pengajuan Aplikasi Briguna Digital,Nasabah Komplain Gagal Proses Pengajuan BRIguna Digital,1.0,"1. Sistem Time Out
2. Wajah Tidak Terdeteksi",1,1. Screen Shot aplikasi briguna digital,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,1.0,19.0,"Sub: Sistem Time Out, Wajah Tidak Terdeteksi",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,DCE,,,,1C,Regular Banking,Kredit Tanpa Agunan,,,Lainnya : Informasi Promo dan Hadiah,Lainnya,XX,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
258.0,8941,Resolution Center,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Products / Promotion Inquiry,Promo dan Program Briguna Digital,Nasabah Menanyakan Terkait Promo dan Program BRIguna Digital,,,,,Move to Resolution Center,Move to CCT,Medium,6 ~ 10,6.0,19.0,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,CLS,,,,1A,Regular Banking,Kredit Tanpa Agunan,,,Lainnya : Informasi Promo dan Hadiah,Lainnya,XX,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
259.0,8942,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Inquiry,Permohonan Pelunasan Maju Briguna,Nasabah Mengajukan Pelunasan Maju (Dipercepat) BRIguna Digital,,,,,No Change,,Low,3 ~ 5,3.0,19.0,Notes: Agar dapat di Update di WI terkait ketentuan pelunasan dipercepat,T3.1 - CDD(SPD CLS),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,CLS,,,,1B,Regular Banking,Kredit Tanpa Agunan,,,Pemahaman karakteristik produk oleh Konsumen,Lainnya,XX,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
260.0,8943,"Card, Digital Lending & Assset",Application & Operations,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Pencairan Briguna Digital Tidak Masuk Rekening,Nasabah Komplain Pencairan BRIguna Digital Tidak Masuk Rekening,,,1,1. Screen Shot aplikasi briguna digital,No Change,Move to CDD,Low,3 ~ 5,4.0,19.0,,"T3.1 - CDD(SPD CLS), T4.1 - APP(SDK)",1.0,,,,4.0,,,1.0,,,,,,6.0,5.0,Done,DCE,,,,1C,Regular Banking,Kredit Tanpa Agunan,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
261.0,8944,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,Refund Asuransi Briguna digital,Nasabah Mengajukan Pengembalian Dana (Refund) Asuransi BRIguna Digital,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,19.0,New Case Type -,T3.1 - CDD(SPD CLS),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,CLS,,,,1B,Regular Banking,Kredit Tanpa Agunan,,,Pemahaman karakteristik produk oleh Konsumen,Lainnya,XX,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
262.0,8945,Resolution Center,Application & Operations,Individu Umum,Loans,KTA - Digital,Platform & Device Support,Pending Proses Pre-screening Briguna Digital,Nasabah Komplain Pending Proses Pre-screening BRIguna Digital,,,1,1. Screen Shot aplikasi briguna digital,Move to Resolution Center,Move to CCT,Low,3 ~ 5,3.0,19.0,Notes: Agar dapat di Update di WI,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,DCE,,,,1C,Regular Banking,Kredit Tanpa Agunan,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
263.0,8946,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Platform & Device Support,Kode OTP Briguna Digital Tidak Masuk,Nasabah Komplain Tidak Terima OTP untuk Pendaftaran BRIguna Digital,,,,,No Change,,Low,3 ~ 5,2.0,19.0,GIC to APP,T3.1 - CDD(SPD CLS),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,DCE,,,,1B,Regular Banking,Kredit Tanpa Agunan,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
264.0,8987,Funding & Retail Payment,Funding & Retail Payment,UMKM,Transaction Banking,Merchant Solutions,Complaint - Non-Transaction,"Sanggahan pendaftaran mitra keagenan BRI (BRImola, Smart Billing, Junio Smart, QRIS, EDC Merchant )",Nasabah/Non-Nasabah BRI Melaporkan Sanggahan Pendaftaran Keagenan BRI,,,,,No Change,,Extremely High,21 ~ 70,40.0,3.0,,"T3.1 - FST(MIM), T4.1 - DDB(OPS)",1.0,,,,1.0,,,2.0,,,,,,4.0,3.0,Done,RPT-ACQ,,,,1B,Regular Banking,Sistem Pembayaran lainnya,,,Kelalaian Pelaku Usaha Jasa Keuangan,Lainnya,XX,Lainnya,999.0
265.0,8988,Brilink Network,Brilink Network,UMKM,Transaction Banking,Merchant Solutions,Complaint - Non-Transaction,sanggahan pendaftaran mitra keagenan BRI (BRILink),Nasabah/Non-Nasabah BRI Melaporkan Sanggahan Pendaftaran Agen BRILink,,,,,No Change,,Extremely High,21 ~ 70,24.0,3.0,TBC BRILINK nama bagian di divisi BRILINK,"T3.1 - BBD(ORR), T3.2 - RO-BRILink, T4.1 BRANCH(Uker)",1.0,,,,2.0,3.0,4.0,,,,,,,10.0,9.0,Done,LCC-CCTCALL,,,,1B,Regular Banking,Sistem Pembayaran lainnya,,,Kelalaian Pelaku Usaha Jasa Keuangan,Lainnya,XX,Lainnya,999.0
266.0,8989,Transaction Banking,Transaction Banking,UMKM,Transaction Banking,Merchant Solutions,Complaint - Non-Transaction,Sanggahan pendaftaran mitra keagenan BRI (BRIStore),Nasabah/Non-Nasabah BRI Melaporkan Sanggahan Pendaftaran BRIStore,,,,,,,,,3.0,3.0,Done,T3.1 - TRB(OHD),1.0,,,,3.0,,,,,,,,,4.0,3.0,,TRB,,,,1B,Regular Banking,Sistem Pembayaran lainnya,,,Kelalaian Pelaku Usaha Jasa Keuangan,Lainnya,XX,Lainnya,999.0
267.0,9002,Resolution Center,Service & Contact Center - CCT,Korporasi,savings,Giro,Inquiry,Identifikasi Setoran Pertamina,Nasabah menanyakan informasi terkait rekening cash card pertamina,,,,,,,,,1.0,1.0,Done,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,,,,,,1A,Regular Banking,,,,,Lainnya,XX,Lainnya,999.0
268.0,9003,Resolution Center,Service & Contact Center - CCT,Korporasi,savings,Giro,Inquiry,Identifikasi Rekening Imprest Nasabah PLN,Nasabah menanyakan informasi terkait rekening cash card PLN,,,,,,,,,1.0,1.0,Done,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,,,,,,1A,Regular Banking,,,,,Lainnya,XX,Lainnya,999.0
269.0,9100,BRI Timor Leste,BRI Timor Leste,Individu Umum,Servicing,Servicing - Layanan Cabang,Complaint - Transaction,Laporan pengaduan Nasabah BRI Timor Leste Colmera,Nasabah BRI Timor Leste komplain terkait layanan,,,,,Move to Resolution Center,,Extremely High,21 ~ 70,66.0,5.0,,T2.1 Branch(Timor Leste),1.0,5.0,,,,,,,,,,,,6.0,5.0,,LCC-CRC,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
270.0,9101,BRI Timor Leste,BRI Timor Leste,Individu Umum,Servicing,Servicing - Layanan Cabang,Complaint - Transaction,Laporan pengaduan Nasabah BRI Timor Leste Fatuhada,Nasabah BRI Timor Leste komplain terkait layanan,,,,,,,,,20.0,20.0,Khusus timor leste,T2.1 Branch(Timor Leste),1.0,5.0,,,,,,,,,,,,6.0,5.0,,00453 -- FATUHADA TIMOR LESTE SUB BRCH,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
271.0,9102,BRI Timor Leste,BRI Timor Leste,Individu Umum,Servicing,Servicing - Layanan Cabang,Complaint - Transaction,Laporan pengaduan Nasabah BRI Timor Leste Hudilaran,Nasabah BRI Timor Leste komplain terkait layanan,,,,,Move to Resolution Center,,Very High,16 ~ 20,16.0,19.0,,T2.1 Branch(Timor Leste),1.0,5.0,,,,,,,,,,,,6.0,5.0,,00455 -- AUDIAN TIMOR LESTE SUB BRANCH,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
272.0,9103,BRI Timor Leste,BRI Timor Leste,Individu Umum,Servicing,Servicing - Layanan Cabang,Complaint - Transaction,"Laporan pengaduan Nasabah BRI Timor Leste Audian (Informasi, Komplain)",Nasabah BRI Timor Leste komplain terkait layanan,,,,,Move to Resolution Center,,Very High,16 ~ 20,17.0,19.0,,T2.1 Branch(Timor Leste),1.0,5.0,,,,,,,,,,,,6.0,5.0,,00455 -- AUDIAN TIMOR LESTE SUB BRANCH,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
273.0,9106,BRI Taipei,BRI Taipei,Individu Umum,Servicing,Servicing - Layanan Cabang,Complaint - Transaction,Complain Handling KCLN BRI Taipei,Nasabah BRI Taipei komplain terkait layanan,,,,,,,,,20.0,20.0,Khusus teipei,T2.1 Branch(Taipei),1.0,5.0,,,,,,,,,,,,6.0,5.0,,9999 - KCLN Taipei,,,,1B,Regular Banking,Penghimpunan Dana Lainnya,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
274.0,9200,Operational Excellence,Credit Operation,UMKM,Loans,"KPR, KUR, KMK, KI",Platform & Device Support,"BRISPOT ( informasi, Maintenance, Complain)",Nasabah Komplain Terkait Kendala Aplikasi BRISPOT,,,,,No Change,,Very Low,0 ~ 2,1.0,1.0,,"T3.1 - OPX, T4.1 - APP(SDK)",1.0,,,,1.0,,,1.0,,,,,,3.0,2.0,Done,OPK-BRISPOT,,,,1B,Regular Banking,,,,,Lainnya,XX,Lainnya,999.0
275.0,9797,Resolution Center,Service & Contact Center - CCT,Korporasi,savings,Giro,Inquiry,Nasabah Inti Kerjasama,Nasabah menyakan terkait informasi cash card,,,,,,,,,,,Done,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,,LCC-CCTNIK,,,,1A,Regular Banking,,,,,Lainnya,XX,Lainnya,999.0
276.0,4305-1,Resolution Center,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Inquiry,Pengiriman Kartu Kredit,Nasabah Menanyakan Informasi Status Pengiriman Kartu Kredit,,,,,Move to Resolution Center,Move to CCT,Low,3 ~ 5,3.0,5.0,Notes: View DTS yang lebih detail perlu diberikan ke CCT,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,KKD-OPS-DELIVERY,,,,1A,Credit & Digital Lending,,,,,,,,
277.0,8106-12,Resolution Center,Investment Service,Individu Umum,Investment,DPLK,Inquiry,,Nasabah Mengajukan Unlock User Microsite DPLK,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,1.0,New Case Type -,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,,,,,1A,Regular Banking,,,,,,,,
278.0,8632-1,Funding & Retail Payment,Service & Contact Center - CCT,UMKM,Transaction Banking,Merchant Solutions,Complaint - Transaction,QRIS Statis - Kurang Bayar,Merchant Komplain Kurang/Belum Terbayar atas Settlement Transaksi QRIS Statis,,,,,No Change,Third party SLA 30 hari,Medium,6 ~ 10,5.0,3.0,New Case Type - Notes: Butuh koordinasi dengan switching/principle kurang lebih 30 Hari,"T3.1 - FST(MCO), Include POD(MSR), Include Third Party(Goodfaith)",1.0,,,,30.0,,,,,,,,,31.0,30.0,Done,RPT-MCO,,,,1B,Regular Banking,,,,,,,,
279.0,8635-1,Funding & Retail Payment,Service & Contact Center - CCT,UMKM,Transaction Banking,Merchant Solutions,Complaint - Transaction,QRIS Dinamis - Kurang Bayar (Merchant),Merchant Komplain Kurang/Belum Terbayar atas Settlement Transaksi QRIS Dinamis,,,,,No Change,Third party SLA 30 hari,Medium,6 ~ 10,6.0,3.0,New Case Type - Confirm with POD,"T3.1 - FST(MCO), Include POD(MSR), Include Third Party(Goodfaith)",1.0,,,,30.0,,,,,,,,,31.0,30.0,Done,RPT-MCO,,,,1B,Regular Banking,,,,,,,,
280.0,8641-1,Resolution Center,Brilink Network,UMKM,Transaction Banking,Merchant Solutions,Inquiry,Nasabah Mengajukan Sebagai Agen BRILink,Nasabah Menanyakan Informasi Cara Pengajuan Sebagai Agen BRILink,,,,,,,Very Low,0 ~ 2,,14.0,New Case Type -,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,BBD-ORR,,,,1A,Regular Banking,,,,,,,,
281.0,1000-1,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Non-Transaction,Nasabah Komplain Terkait Pengajuan CERIA,Nasabah Komplain Terkait Pengajuan CERIA,,,,,No Change,,Very Low,0 ~ 2,,,New Case Type -,"T3.1- DDB(Helpdesk), T3.2 - DDB(OPS)",1.0,,,,2.0,2.0,,,,,,,,5.0,4.0,Done,,,,,1B,Credit & Digital Lending,,,,,,,,
282.0,2700-1,Resolution Center,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Inquiry,Nasabah Menanyakan Informasi Pendaftaran Autodebet Kartu Kredit,Nasabah Menanyakan Informasi Pendaftaran Autodebet Kartu Kredit,,,,,Move to Resolution Center,,Very Low,0 ~ 2,,1.0,New Case Type -,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,,,,,1A,Credit & Digital Lending,,,,,,,,
283.0,2703-1,Resolution Center,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Inquiry,Nasabah Menanyakan Informasi Pendaftaran Autopayment Kartu Kredit,Nasabah Menanyakan Informasi Pendaftaran Autopayment Kartu Kredit,,,,,Move to Resolution Center,,Very Low,0 ~ 2,,1.0,New Case Type -,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,,,,,1A,Credit & Digital Lending,,,,,,,,
284.0,8106-10,Resolution Center,Investment Service,Individu Umum,Investment,DPLK,Inquiry,Nomor CIF,Nasabah Menanyakan Nomor CIF DPLK,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,1.0,New Case Type -,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,,,,,1A,Regular Banking,,,,,,,,
285.0,8106-11,Resolution Center,Investment Service,Individu Umum,Investment,DPLK,Inquiry,Status Proses Claim/penarikan sebagian,Nasabah Menanyakan Status Proses Claim/Penarikan Sebagian DPLK,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,1.0,New Case Type -,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,,,,,1A,Regular Banking,,,,,,,,
286.0,8106-7,Resolution Center,Investment Service,Individu Umum,Investment,DPLK,Inquiry,Nasabah Menanyakan Saldo DPLK,Nasabah Menanyakan Saldo DPLK,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,1.0,New Case Type -,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,,,,,1A,Regular Banking,,,,,,,,
