No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Jenis Produk dan atau Layanan LKPBU,Kategori Permasalahan LKPBU,Jenis Transaksi LKPBU,Penyebab Pengaduan LKPBU,Jenis Produk LBUT,Sandi Jenis  Produk LBUT,Sebab Pengaduan LBUT,Sandi Penyebab LBUT,Detail BRICare,external_id
242.0,8709,False,Operational Risk,Korporasi,Transaction Banking,Cash Management,Fraud / Suspicious Transactions,Investigasi Indikasi Fraud Internal,Investigasi Indikasi Fraud Internal,,Yes,Yes,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-FBI,,,,,,,,,,,,,,,8709
246.0,8714,False,Resolution Center,Individu Umum,Savings,Electronic Money,Complaint - Non-Transaction,Komplain BRIZZI Fuel Card,Komplain BRIZZI Fuel Card,,Yes,No,No,"Proposed to delete, Gabung dengan komplain BRIZZI",T2.1 - NFT,1.0,5.0,,,,6.0,5.0,Done,LCC-ISSUER,,,,,,,,,,,,,,,8714
247.0,8716,False,Operational Risk,Korporasi,Transaction Banking,Cash Management,Fraud / Suspicious Transactions,Register Surat Bilateral Bank Lain (Penipuan),Register Surat Bilateral Bank Lain (Penipuan),,Yes,Yes,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-FBI,,,,,,,,,,,,,,,8716
25.0,8803,False,Resolution Center,All,Savings,"Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking",Complaint - Transaction,Nasabah BRI gagal Transfer & terdebet ke Rek BRI Syariah,Nasabah BRI gagal Transfer & terdebet ke Rek BRI Syariah,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-ISSUER,,,,,,,,,,,,,,,8803
26.0,8903,False,Resolution Center,All,All,All,Third Party Support,Komplain Antar Bank,Komplain Antar Bank,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CRC,,,,,,,,,,,,,,,8903
262.0,8910,False,Funding & Retail Payment,Individu Umum,Savings,Giro (CA),Complaint - Transaction,Komplain Kliring di Teller,Komplain Kliring di Teller,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,SRK-RTGKL,,,,,,,,,,,,,,,8910
263.0,8911,False,Resolution Center,Individu Umum,Savings,Mobile Banking,Complaint - Transaction,Komplain BRImo Payment,Komplain BRImo Payment,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-ISSUER,,,,,,,,,,,,,,,8911
265.0,8914,False,Resolution Center,All,Savings,"Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking",Platform & Device Support,Komplain Kios K (sunset channel),Komplain Kios K (sunset channel),,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CRC,,,,,,,,,,,,,,,8914
268.0,8918,False,Resolution Center,All,All,All,Products / Promotion Inquiry,Produk Kerjasama Lainnya,Produk Kerjasama Lainnya,,Yes,No,No,Proposed to delete,T2.1 - CRS,1.0,1.0,,,,2.0,1.0,Done,LCC-CRC,,,,,,,,,,,,,,,8918
271.0,8926,False,Resolution Center,All,All,All,Customer Feedback / Sentiment Monitoring,Pengaduan di Media Cetak - terkait Pembayaran,Pengaduan di Media Cetak - terkait Pembayaran,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CRC,,,,,,,,,,,,,,,8926
272.0,8928,False,Resolution Center,All,All,All,Customer Feedback / Sentiment Monitoring,Liputan Media Elektronik - terkait Pembayaran,Liputan Media Elektronik - terkait Pembayaran,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CRC,,,,,,,,,,,,,,,8928
273.0,8929,False,Resolution Center,All,All,All,Customer Feedback / Sentiment Monitoring,Publikasi/Tulisan Di Tempat Umum - terkait Pembayaran,Publikasi/Tulisan Di Tempat Umum - terkait Pembayaran,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CRC,,,,,,,,,,,,,,,8929
274.0,8930,False,Resolution Center,All,All,All,Customer Feedback / Sentiment Monitoring,Publikasi Negatif Lainnya - terkait Pembayaran,Publikasi Negatif Lainnya - terkait Pembayaran,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CRC,,,,,,,,,,,,,,,8930
275.0,8931,False,Resolution Center,All,All,All,Customer Feedback / Sentiment Monitoring,Pengaduan di Media Cetak - tidak terkait Pembayaran,Pengaduan di Media Cetak - tidak terkait Pembayaran,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CRC,,,,,,,,,,,,,,,8931
276.0,8933,False,Resolution Center,All,All,All,Customer Feedback / Sentiment Monitoring,Liputan Media Elektronik - tidak terkait Pembayaran,Liputan Media Elektronik - tidak terkait Pembayaran,,Yes,No,No,Proposed to delete,T2.1 - CRS,1.0,3.0,,,,4.0,3.0,Done,LCC-CRC,,,,,,,,,,,,,,,8933
288.0,8981,False,Resolution Center,All,All,All,Third Party Support,Other Partners (propose to delete),Other Partners (propose to delete),,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CRC,,,,,,,,,,,,,,,8981
289.0,8982,False,Funding & Retail Payment,UMKM,Merchant Solutions,EDC/QRIS,Complaint - Transaction,Transaksi QRIS Laporan dari Merchant,Transaksi QRIS Laporan dari Merchant,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,RPT-MCO,,,,,,,,,,,,,,,8982
29.0,8983,False,Resolution Center,UMKM,Merchant Solutions,Payment Solutions,Request,Pembatalan Transaksi / Refund Merchant,Pembatalan Transaksi / Refund Merchant,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CCTCALL,,,,,,,,,,,,,,,8983
291.0,8984,False,Resolution Center,UMKM,Merchant Solutions,Payment Solutions,Platform & Device Support,Status Mesin EDC tidak Bisa Digunakan,Status Mesin EDC tidak Bisa Digunakan,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CCTCALL,,,,,,,,,,,,,,,8984
293.0,8986,False,Resolution Center,UMKM,Merchant Solutions,Payment Solutions,Complaint - Transaction,Pembayaran Settlement Merchant (gagal settlement),Pembayaran Settlement Merchant (gagal settlement),,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-CCTCALL,,,,,,,,,,,,,,,8986
296.0,9001,False,Resolution Center,All,All,All,Products / Promotion Inquiry,BRI Agro,BRI Agro,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-ACQ,,,,,,,,,,,,,,,9001
301.0,9999,False,Resolution Center,Individu Umum,Savings,Electronic Money,Complaint - Transaction,Gagal Transaksi BRIZZI,Gagal Transaksi BRIZZI,,Yes,No,No,Proposed to delete,,1.0,,,,,1.0,,Done,LCC-ISSUER,,,,,,,,,,,,,,,9999
353.0,999,True,Resolution Center,,,,,-,OOT - Interaksi Nasabah Melalui Sosial Media atau Email,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,Regular Banking,,,,,,,,,,999
