No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Detail BRICare,Unnamed: 58,external_id
81,3205,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Penutupan Kartu Kredit tanpa Anti Attrition (ada tagihan, ada asuransi)",Nasabah Mengajukan Penutupan Kartu Kredit Namun Masih Terdaftar Asuransi dan Ada Tagihan,,,,,No Change,,Very Low,0 ~ 2,,3.0,New Case Type -,"T3.1 - CDD(SPD SCD), T3.2 - CDD(CLF-1 DATAM), Include Insurance Company",1,,,1,,11,1,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penutupan kartu kredit
 Alasan tutup kartu kredit
 Sudah sarankan/edukasi/probing : …..
 
 Cantumkan alamat E-mail yang terdaftar (jika nasabah meminta surat keterangan Lunas atau surat penutupan Kartu).
 
 Mohon tindaklanjut
 Copy month profile & cur bal",,3205
82,4200,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Informasi dan Permintaan Pin baru Kartu Kredit,Nasabah Mengajukan PIN Baru Kartu Kredit,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,,,T1 - Agent CCT/Frontliner,1,,,,,1,,Done,KKD-RMG-PIN,,,,1A,Credit & Digital Lending,"Nasabah pengajuan PIN
 Alasan pengajuan PIN :
 Respon di WBS :
 User WBS yang digunakan :
 Copy Month Profile (PCHI)
 Copy status pengajuan PIN dari PCMH (untuk pin mailer)",,4200
83,4201,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Copy Billing Statement Kartu Kredit,Nasabah Mengajukan Copy Billing Statement Kartu Kredit,,,,,No Change,,Very Low,0 ~ 2,1.0,,,"T3.1 - CDD(OPE Delivery), T2.1 - CRS, Include Vendor",1,1,,4,,6,5,Done,KKD-OPS-DELIVERY,,,,1B,Credit & Digital Lending,"Nasabah melakukan permintaan Copy BS
 Alasan :
 Periode bulan :
 Alamat email/ nomor fax :
 Salin status kartu kredit (screen PCHI)",,4201
84,4202,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Cetak Kartu Kredit Baru,Nasabah Mengajukan Pencetakan Kartu Kredit Baru Karena Perubahan BIN atau Salah Nama,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit",No Change,,Medium,6 ~ 10,6.0,3.0,,T3.1 - CDD(CLF-1 DATAM),1,,,3,,4,3,Done,KKD-CRI-DATAM,,,,1C,Credit & Digital Lending,"Merujuk TT (calltype 4203 perubahan data) :
 Mohon bantuan untuk penggantian kartu kredit karena nasabah sudah resign dari BRI
 Alamat pengiriman baru :
 Email nasabah :
 Terima kasih.
 
 Salin status kartu kredit (month profile, screen PCHI)",,4202
85,4203,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Perubahan Data Nasabah Kartu Kredit,Nasabah Mengajukan Perubahan Data Nasabah Kartu Kredit,1.0,"1. Alamat Rumah/Kantor
2. NPWP
3. No TLP Rumah/Kantor
4. No TLP Emergency Contact
5. Emergency Contact Name",,,No Change,,Medium,6 ~ 10,5.0,3.0,"Sub: Alamat Rumah/Kantor, NPWP, No TLP Rumah/Kantor, No TLP Emergency Contact, Emergency Contact Name",T3.1 - CDD(CLF-1 DATAM),1,,,3,,4,3,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penggantian alamat kantor/rumah karena ….
 
 Alamat kantor/rumah lama:
 Alamat kantor/rumah baru:
 Nomor telp kantor/rumah baru:
 Alamat email untuk kirim dokumen :
 Alasan diteruskan ke Back Office :
 
 Dokumen yang dibutuhkan foto copy kartu kredit tampak depan, foto copy KTP yang masih berlaku (hapus jika tidak dibutuhkan)
 
 Mohon bantuannya. Terima kasih.
 
 Salin status kartu kredit (month profile, screen PCHI)
 
 Update NPWP
 Nasabah mendaftarkan NPWP dengan nomor : …..
 Salin status kartu kredit (month profile, screen PCHI)
 Salin PCIC (sebelum dan sesudah maintenance)",,4203
86,4204,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Perubahan Tanggal Cetak, tgl lahir, Nama Ibu Kandung Nasabah Kartu Kredit","Nasabah Mengajukan Perubahan Tanggal Cetak, Tanggal Lahir, Nama Ibu Kandung, Nomor HP/Nomor Telepon",1.0,"1. Tanggal Cetak, Tanggal Lahir, Nama Ibu Kandung
2. Nomor HP/Telepon",1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. KK/akta lahir",No Change,,Medium,6 ~ 10,6.0,3.0,Tidak digabung dengan 4203 karena beda bagian tim DATAM yang menangani,T3.1 - CDD(CLF-1 DATAM),1,,,3,,4,3,Done,KKD-CRI-DATAM,,,,1C,Credit & Digital Lending,"Nasabah mengajukan penggantian tanggal cycle/ tanggal lahir/ nama ibu kandung
 Alasan ubah tanggal cycle :
 Tanggal lahir/ nama ibu kandung yang di system :
 Tanggal lahir/ nama ibu kandung yang disebutkan:
 Alamat email untuk kirim dokumen :
 Sudah disampaikan untuk kirim dokumen
 Tolong bantuannya untuk tindak lanjut.
 Dokumen yang dibutuhkan : surat pernyataan, foto copy kartu kredit tampak depan, foto copy KTP /paspor yang masih berlaku, akte kelahiran (hapus yang tidak diperlukan)
 Terima kasih.
 
 Salin status kartu kredit (month profile, screen PCHI)",,4204
87,4207,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Perubahan Alamat Penagihan Kartu Kredit (tanpa ubah data),Nasabah Mengajukan Perubahan Alamat Penagihan Kartu Kredit (tanpa ubah data),,,,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,3.0,Khusus permintaan dari BRImo,T3.1 - CDD(CLF-1 DATAM),1,,,3,,4,3,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penggantian alamat pengiriman tagihan dari rumah/kantor menjadi rumah/kantor karena ….
 Alamat lama:
 Alamat baru:
 Terima kasih.
 
 Salin status kartu kredit (month profile, screen PCHI)
 Salin screen PCIC (sebelum dan sesudah maintenance)",,4207
88,4208,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Pendaftaran E-statement untuk Kartu Kredit,Nasabah Mengajukan Pendaftaran E-statement untuk Kartu Kredit,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,1.0,,T1 - Agent CCT/Frontliner,1,,,,,1,,Done,KKD-CRI-DATAM,,,,1A,Credit & Digital Lending,"Nasabah mengajukan registrasi e-statement
 Alamat email :
 Salin screen PCHI
 Salin screen PCIC (sebelum dan sesudah maintenance)
 
 Nasabah mengajukan perubahan alamat e-statement
 Alamat email lama :
 Alamat email baru :
 Salin Screen PCHI
 Salin screen PCIC (sebelum dan sesudah maintenance)",,4208
89,4211,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pendaftaran Nomor Ponsel Kartu Kredit tambahan untuk Transaksi 3D secure,Nasabah Mengajukan Pendaftaran 3D Secure Kartu Kredit,,,,,No Change,,Very Low,0 ~ 2,,,,T3.1 - CDD(ACU OTO),1,,,1,,2,1,Done,KKD-RMG-OTO,,,,1B,Credit & Digital Lending,"Nasabah mengajukan pendaftaran no Hanphone ke 3d Secure :
 No Handphone CH : ………………………………… (Sesuai cardlink)
 Alasan pendaftaran :
 Sudah dilakukan pengecekan ke Team Leader : (nama TL)
 No handphone belum terdaftar 3d secure
 
 Salin status kartu kredit (month profile, screen PCHI)",,4211
9,4212,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Perubahan alamat dan data nasabah Kartu Kredit melalui Telesales,Nasabah Mengajukan Perubahan Alamat & Data Nasabah Kartu Kredit Melalui Telesales CDD,,,,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,11.0,,"T1 - Telesales, T3.1 - CDD(CLF-1 DATAM)",1,,,3,,4,3,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,xxx,,4212
91,4213,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Perubahan Data Nasabah kartu Kredit Penghasilan < 10 Juta,Nasabah Mengajukan Perubahan Data Gaji / Penghasilan,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. Slip Gaji",Move to Resolution Center,,Medium,6 ~ 10,5.0,15.0,Proposed to merge with 4204,T3.1 - CDD(CLF-1 DATAM),1,,,3,,4,3,Done,KKD-CRI-DATAM,,,,1C,Credit & Digital Lending,"Nasabah mengajukan perubahan data penghasilan
 Alasan:
 
 Alamat email untuk kirim dokumen :
 CSR sarankan mengirim dokumen Surat pernyataan perubahan data penghasilan, foto copy kartu kredit tampak depan, foto copy KTP, data penghasilan/SPT
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 Salin status kartu kredit (month profile, screen PCHI)",,4213
92,4215,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Inquiry,Terima kode OTP namun tidak melakukan transaksi Kartu Kredit,Nasabah/Non-Nasabah BRI Melaporkan Terima OTP Namun Tidak Melakukan Transaksi,,,,,Move to Resolution Center,Move to CCT,Very High,16 ~ 20,15.0,,,T1 - Agent CCT/Frontliner,1,,,,,1,,Done,KKD-RMG-INVEST,,,,1A,Credit & Digital Lending,"Nasabah infokan menerima kode OTP namun tidak merasa melakukan transaksi.
 
 Detail Transaksi:
 
 Agent sudah infokan:",,4215
93,4216,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Tidak terima sms/email Notifikasi kartu Kredit,Nasabah Komplain Tidak Terima SMS/Email Notifikasi Transaksi Kartu Kredit,,,,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,,Menunggu konfirmasi OLA dari OTO,T3.1 - CDD(ACU OTO),1,,,1,,2,1,Done,KKD-RMG-INVEST,,,,1B,Credit & Digital Lending,"Ch komplain tidak terima sms/email notifikasi
 alamat email :
 No hp :
 tanggal transaksi :
 Nama merchant :
 Nominal transaksi :
 sejak kapan tidak terima sms/email notifikasi :
 Apakah sebelumnya pernah terima sms notifikasi : ( tidak pernah/kadang2 terima notifikasi)
 
 Informasi tambahan :
 Untuk kartu kredit BRI JCB Platinum saat ini belum dapat menerima sms notifikasi.
 Solusi tambahan :
 ""Notifikasi transaksi kartu kredit bisa diterima juga apabila Bapak/Ibu sudah menggunakan aplikasi BRI Credit Card Mobile""",,4216
94,4218,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Tunggalisasi CIF KK-BRImo ( Complain terkait penggunaan CC sebagai sumber dana QRIS ),Nasabah Mengajukan Pendaftaran Kartu Kredit Sebagai Metode Pembayaran QRIS di BRImo,,,,,No Change,,Extremely High,21 ~ 70,20.0,14.0,"Notes: WI perlu di update, Menunggu Proses Tunggalisasi data Kartu Kredit & BRImo",T3.1 - CDD(CLF-1 DATAM),1,,,3,,4,3,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,"Nasabah melaporkan kartu kredit BRI belum terdaftar di aplikasi BRImo
 
 Data kartu kredit nasabah dengan data rekening sudah match namun belum tidak muncul di BRImo :
 No Customer Number KK : (Cek di PCIH dengan tulisan CUST NUMBER 001)
 No CIF :
 No. Rekening Simpanan BRI :
 User ID BRImo :
 Nomor KTP di cardlink :
 DOB di Cardlink :
 Nomor KTP di Rekening :
 DOB di di Rekening :
 
 Mohon tindaklanjut, terima kasih.
 (Copy 24 month Profile PCHI)",,4218
95,4304,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Transaction,Komplain Akurasi Jumlah Tagihan (produk kartu kredit),Nasabah Komplain Jumlah Tagihan Kartu Kredit Tidak Akurat,,,,,No Change,,Medium,6 ~ 10,7.0,6.0,,T3.1 - CDD(OPE ITEM),1,,,6,,7,6,Done,KKD-OPS-ITEM,,,,1B,Credit & Digital Lending,"Nasabah menyakan Akurasi Jumlah tagihan
 Tagihan bulan : ... ( b/s cycle )
 Alasan:
 
 Copy PCHI",,4304
96,4305,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Pengiriman Kartu Kredit,Nasabah Komplain Kartu Kredit Belum Diterima,,,,,,,Low,3 ~ 5,3.0,5.0,"Notes: View DTS yang lebih detail perlu diberikan ke CCT, Butuh perpanjangan SLA","T3.1 - CDD(OPE Delivery), Include Vendor",1,,,1,,11,1,Done,KKD-OPS-DELIVERY,,,,1B,Credit & Digital Lending,"Nasabah melaporkan belum terima kartu baru/perpanjangan/pergantian
 Informasi pengiriman :
 Alamat pengiriman :
 Mohon bantuannya. Terima kasih
 
 Copy status pengiriman dari aplikasi DTS
 Copy PCHI",,4305
97,5100,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Inquiry,"Informasi Tagihan, Status Pembayaran, Sisa limit, Fee, Bunga, Late Charge Kartu Kredit",Nasabah Menanyakan Informasi Terkait Transaksi & Limit Kartu Kredit,1.0,"1. Tagihan
2. Status Pembayaran
3. Sisa limit
4. Bunga
5. Biaya Denda Keterlambatan
6. Biaya Tahunan
7. Biaya Lainnya",,,Move to Resolution Center,,Very Low,0 ~ 2,,,"Sub: Tagihan, Status Pembayaran, Sisa limit, Bunga, Biaya Denda Keterlambatan, Biaya Tahunan, Biaya Lainnya",T1 - Agent CCT/Frontliner,1,,,,,1,,Done,LCC-CCTCALL,,,,1A,Credit & Digital Lending,"Nasabah menanyakan biaya/bunga/late charge ……
 Informasi yang diberikan :
 Copy PCHI
 
 Nasabah melakukan pembayaran tagihan KK BRI
 Tagihan bulan : … ( b/s cycle )
 Tanggal : …
 Nominal : Rp. …
 Melalui : ( sms banking, terminal ATM, teller )
 Keterangan tambahan: ( jika tidak ada, field ini dikosongkan )
 Salin screen PCHI (screen yang menunjukkan pembayaran terakhir)
 
 Nasabah menanyakan tagihan /sisa limit.......
 Ket :
 Copy PCHI",,5100
98,5200,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Kenaikan Limit Tetap Kartu Kredit,Nasabah Mengajukan Kenaikan Limit Tetap Kartu Kredit,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. npwp
5. silp gaji",No Change,,Very High,16 ~ 20,15.0,3.0,,T3.1 - CDD(CLF-1 LIMIT),1,,,5,,6,5,Done,KKD-CRI-LIMIT,,,,1C,Credit & Digital Lending,"(untuk Non Pekerja BRI)
 
 Nasabah mengajukan kenaikan limit KK BRI
 Batas limit saat ini : Rp. ...
 Pengajuan : Rp. ....
 Alasan pengajuan : ...
 Data pekerjaan terbaru :
 Jabatan :
 Alamat kantor/nomor telpon kantor :
 Hi – Balance : ....
 Alamat email untuk kirim dokumen :
 Keterangan tambahan:
 
 Nasabah setuju dengan biaya penggantian kartu/biaya naik limit dan pembebanan iuran tahunan apabila pengajuan disetujui (pilih yang sesuai)
 CSR sarankan kirim dokumen (pilih salah satu sesuai)
 Pegawai : status surat permohonan, Slip gaji terahir/surat keterangan penghasilan, NPWP, KTP
 Wiraswasta : Surat permohonan, Salinan rekening koran 3 bulan terakhir/ SPT terakhir. SIUP / NPWP, KTP
 
 Mohon bantuannya untuk tindak lanjut. Terima kasih
 
 Copy month profile dari PCHI
 
 ( untuk pekerja BRI)
 Nasabah mengajukan kenaikan limit KK BRI
 Batas limit saat ini : Rp. ...
 Pengajua : Rp. ....
 Alasan pengajuan : ...
 Grade :
 Jabatan :
 Lama bekerja :
 Unit kerja saat ini :
 alamat rumah :
 nomor telepon/ handphone yang dapat dihubungi
 nomor NPWP :
 Hi – Balance : ....
 Keterangan tambahan:
 CSR sarankan kirim dokumen slip gaji (jika tidak dibutuhkan maka dihapus)
 Mohon bantuannya untuk tindak lanjut. Terima kasih
 
 Copy month profile dari PCHI",,5200
99,5201,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Penurunan Limit Tetap Kartu Kredit,Nasabah Mengajukan Penurunan Limit Kartu Kredit,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. npwp
5. silp gaji",No Change,,Low,3 ~ 5,4.0,5.0,,T3.1 - CDD(CLF-1 LIMIT),1,,,4,,5,4,Done,KKD-CRI-LIMIT,,,,1B,Credit & Digital Lending,"(untuk Non Pekerja BRI)
 Nasabah mengajukan penurunan limit KK BRI
 Batas limit saat ini : Rp. ...
 Pengajuan : Rp. ....
 Alasan pengajuan : ...
 Data pekerjaan terbaru :
 Jabatan :
 Alamat kantor/nomor telpon kantor :
 Hi – Balance : ....
 Alamat email untuk kirim dokumen :
 Keterangan tambahan:
 
 Nasabah setuju dengan biaya penggantian kartu (jika kartu berubah dan pembebanan iuran tahunan apabila pengajuan disetujui (pilih yang sesuai)
 Agent sarankan kirim dokumen (pilih salah satu sesuai)
 Pegawai : status surat permohonan, Slip gaji terahir/surat keterangan penghasilan, NPWP, KTP
 Wiraswasta : Surat permohonan, Salinan rekening koran 3 bulan terakhir/ SPT terakhir. SIUP / NPWP, KTP
 
 Mohon bantuannya untuk tindak lanjut. Terima kasih
 Copy month profile dari PCHI
 
 ( untuk pekerja BRI)
 
 Nasabah mengajukan penurunan limit KK BRI
 Batas limit saat ini : Rp. ...
 Pengajuan : Rp. ....
 Alasan pengajuan : ...
 Grade :
 Jabatan :
 Lama bekerja :
 Unit kerja saat ini :
 alamat rumah :
 nomor telepon/ handphone yang dapat dihubungi :
 nomor NPWP :
 Hi – Balance : ....
 Keterangan tambahan:
 
 Nasabah setuju dengan biaya penggantian kartu (jika menyebabkan pergantian kartu kredit)
 
 Mohon bantuannya untuk tindak lanjut. Terima kasih
 Copy month profile dari PCHI",,5201
1,5202,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Kenaikan Limit Sementara Kartu Kredit,Nasabah Mengajukan Kenaikan Limit Sementara Kartu Kredit,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. npwp
5. silp gaji",No Change,,Medium,6 ~ 10,8.0,5.0,,T3.1 - CDD(CLF-1 LIMIT),1,,,5,,6,5,Done,KKD-CRI-LIMIT,,,,1C,Credit & Digital Lending,"(untuk Non Pekerja BRI)
 
 Nasabah mengajukan kenaikan limit sementara KK BRI
 
 Batas limit saat ini : Rp. ...
 Pengajuan : Rp. ....
 Alasan pengajuan : ...
 Data pekerjaan terbaru :
 Jabatan :
 Alamat kantor/nomor telpon kantor :
 Hi – Balance : ....
 Keterangan tambahan :
 Nasabah setuju dengan biaya naik limit
 Agent sarankan kirim dokumen (pilih salah satu yang sesuai)
 Pegawai : status surat permohonan, Slip gaji terahir/surat keterangan penghasilan, NPWP, KTP
 Wiraswasta : Surat permohonan, Salinan rekening koran 3 bulan terakhir/ SPT terakhir. SIUP / NPWP, KTP
 
 Mohon bantuannya untuk tindak lanjut. Terima kasih
 Copy month profile dari PCHI
 
 ( untuk pekerja BRI)
 
 Nasabah mengajukan kenaikan limit sementara KK BRI
 Batas limit saat ini : Rp. ...
 Pengajuan : Rp. ....
 Alasan pengajuan : ...
 Grade :
 Jabatan :
 Lama bekerja :
 Unit kerja saat ini :
 alamat rumah :
 nomor telepon/ handphone yang dapat dihubungi
 nomor NPWP :
 Hi – Balance : ....
 Keterangan tambahan:
 Nasabah setuju dengan Biaya naik limit
 Mohon bantuannya untuk tindak lanjut. Terima kasih
 Copy month profile dari PCHI",,5202
101,5203,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Kenaikan Instan Limit Instan (Hospital, Ticketing, Restoran, Hotel)","Nasabah Mengajukan Kenaikan Limit Instan Kartu Kredit (Hospital, Ticketing, Restoran, Hotel)",,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. npwp
5. silp gaji",No Change,,Medium,6 ~ 10,5.0,5.0,,T3.1 - CDD(CLF-1 LIMIT),1,,,5,,6,5,Done,KKD-CRI-LIMIT,,,,1B,Credit & Digital Lending,"a. Jika nasabah merupakan karyawan BRI 
 
 Nasabah mengajukan kenaikan limit sementara KK BRI 
 Limit kredit nasabah saat ini : Rp. ... 
 Pengajua limit yang diajukan : Rp. .... 
 Alasan pengajuan : ... 
 Grade : 
 Jabatan : 
 Lama bekerja : 
 Unit kerja saat ini : 
 alamat rumah : 
 nomor telepon/ handphone yang dapat dihubungi : 
 nomor NPWP : 
 Pengajuan yang diajukan : Bulan 
 Hi – Balance : .... 
 
 Keterangan tambahan: 
 CSR sarankan kirim dokumen slip gaji (jika tidak dibutuhkan maka dihapus) 
 Mohon bantuannya untuk tindak lanjut. Terima kasih 
 
 Copy month profile dari PCHI 
 
 b. Jika nasabah merupakan NON karyawan BRI 
 
 Nasabah mengajukan kenaikan limit sementara KK BRI 
 Limit kredit nasabah saat ini : Rp. ... 
 Pengajua limit yang diajukan : Rp. .... 
 Alasan pengajuan : ... 
 Data pekerjaan terbaru : 
 Jabatan : 
 Alamat kantor : 
 nomor telpon kantor : 
 Pengajuan yang diajukan : Bulan 
 Hi – Balance : .... 
 Alamat email untuk kirim dokumen : 
 Keterangan tambahan: 
 
 Nasabah setuju dengan biaya penggantian kartu atau biaya naik limit dan pembebanan iuran tahunan apabila pengajuan disetujui (pilih yang sesuai) 
 
 Agent sudah sampaikan dokumen yang perlu dilampirkan (pilih salah satu sesuai) : 
 Pegawai : status surat permohonan, Slip gaji terahir/surat keterangan penghasilan, NPWP, KTP  
 Wiraswasta : Surat permohonan, Salinan rekening koran 3 bulan terakhir/ SPT terakhir. SIUP / NPWP, KTP 
 
 Mohon bantuannya untuk tindak lanjut. Terima kasih 
 
 Copy month profile dari PCHI",,5203
102,5205,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Kenaikan Limit Kartu Kredit khusus Restrukturisasi,Unit Kerja Mengajukan Kenaikan Limit Kartu Kredit Khusus untuk Restrukturisasi,,,,,No Change,,Very Low,0 ~ 2,1.0,5.0,,T3.1 - CDD(CLF-1 LIMIT),1,,,3,,4,3,Done,KKD-CRI-LIMIT,,,,1B,Credit & Digital Lending,xxx,,5205
103,5300,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Limit Kartu Kredit Terlalu Kecil (permintaan untuk kenaikan limit),Nasabah Komplain Limit Kartu Kredit Terlalu Kecil,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. npwp
5. silp gaji",No Change,,Medium,6 ~ 10,5.0,5.0,,T3.1 - CDD(CLF-1 LIMIT),1,,,5,,6,5,Done,KKD-CRI-LIMIT,,,,1C,Credit & Digital Lending,"Nasabah melaporkan limit terlalu kecil
 Limit saat ini :
 Limit yang diajukan :
 Hi – Balance
 Keterangan lain : (limit kartu kredit Bank xxxx sebesar …..)
 Mohon bantuannya untuk ditindaklanjuti
 Copy PCHI",,5300
104,5400,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Platform & Device Support,Informasi Aplikasi Credit Card Mobile,"Nasabah Menanyakan Cara, Syarat & Ketentuan Penggunaan BRI Credit Card Mobile",1.0,"1. Cara Registrasi
2. Cara Penggunaan
3. Dll",,,Move to Resolution Center,,Very Low,0 ~ 2,,,"Sub: Cara Registrasi, Cara Penggunaan, Dll",T1 - Agent CCT/Frontliner,1,,,,,1,,Done,KKD-PBK-KKPBK,,,,1A,Credit & Digital Lending,"Nasabah menanyakan informasi BRI Credit Card Mobile …..:
 Informasi di library : …………….",,5400
105,5401,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Platform & Device Support,Complain Aplikasi Credit Card Mobile,Nasabah Komplain Terkait Penggunaan Aplikasi BRI Credit Card Mobile (BCCM),,,,,No Change,,Medium,6 ~ 10,5.0,2.0,,T3.1 - CDD(SPD SCD),1,,,2,,3,2,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,"Nasabah komplain BRI Credit Card Mobile : …..
 User name
 Type ponsel :
 Nomor ponsel :
 Sistem Android/iOS :
 Respon gagal
 Versi aplikasi yg sedang digunakan
 
 Mohon bantuan untuk tindak lanjut. Terima kasih
 Copas profile pchi",,5401
106,6100,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Surat Lunas Kolektibilitas Lancar untuk Kartu Kredit,Nasabah Mengajukan Surat Lunas Kolektibilitas Lancar untuk Kartu Kredit,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit",No Change,,Medium,6 ~ 10,8.0,4.0,,T3.1 - CDD(MPP MIS),1,,,8,,9,8,Done,KKD-RMG-MIS,,,,1C,Credit & Digital Lending,"Nasabah meminta surat pelunasan
 Alasan
 Alamat email/ nomor fax:
 Agent sarankan kirim dokumen surat permohonan, fotocopy KTP dan kartu kredit
 
 Mohon bantuannya. Terima kasih.
 
 Copy PCHI
 
 Nasabah meminta surat penutupan kartu
 Alasan
 Mohon bantuannya. Terima kasih.
 
 Copy PCHI",,6100
107,6101,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Penghapusan Biaya Acct Menunggak (iuran tahunan, denda keterlambatan, interest dan fee lainnya)",Nasabah Menunggak Mengajukan Penghapusan Biaya Kartu Kredit,1.0,"1. Iuran Tahunan
2. Denda Keterlambatan
3. Bunga
4. Biaya lainnya",,,No Change,,Medium,6 ~ 10,5.0,8.0,,T3.1 - CDD(CLL FE),1,,,7,,8,7,Done,KKD-CLL-RE,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penghapusan biaya Account Menunggak (iuran tahunan, denda keterlambatan, interest dan fee lainnya)
 
 Alasan :
 Nasabah masih aktif bekerja/tidak :
 Keterangan alamat kantor/rumah/nomor telpon yang baru :
 Alamat email nasabah :
 Dokumen yang akan dikirimkan :
 Surat permohonan nasabah dan/ atau penanggung atau ahli waris,
 Fotocopy KTP Nasabah dan atau penanggung atau ahli waris,
 tagihan yang lain (jika dibutuhkan)
 
 Salin status karut kredit (screen PCHI).",ok,6101
108,6102,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Surat Keterangan Lunas, Pernah ada Tunggakan",Nasabah Dengan Status Pernah Menunggak Mengajukan Surat Keterangan Lunas,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit",No Change,,Medium,6 ~ 10,8.0,8.0,,"T3.1 - CDD(CLL HC), T3.2 - CDD(CLL RE)",1,,,9,,1,9,Done,KKD-CLL-HC,,,,1C,Credit & Digital Lending,"Nasabah meminta surat pelunasan
 Alasan :
 Keterangan alamat kantor/rumah/nomor telpon yang baru :
 Copy screen PCHI",ok,6102
