title,modified_time,jenis_produk,produk,varian_produk,nama_knowledge,isi_knowledge
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Traveloka Paylater Card - Limit,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Traveloka Paylater Card,Limit,1. Limit Kartu Kredit: Rp3.000.000 – Rp999.999.999
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding BTN Gold - Syarat Pembukaan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding BTN Gold,Syarat Pembukaan,"Persyaratan Umum :
1. Merupakan Warga Negara Indonesia (WNI)
2. Usia minimal 21 tahun atau sudah menikah. Untuk Pemegang Kartu Tambahan, berusia minimal 17 tahun atau sudah menikah.
3. Memiliki penghasilan sendiri dengan minimum penghasilan/pendapatan dan dokumen penghasilan sebagaimana yang diatur oleh Bank Indonesia.
4. Pengajuan kartu kredit hanya dapat dilakukan melalui aplikasi BTN Credit Card Mobile atau Kantor Cabang BTN
5. Telah menjadi nasabah BTN

Persyaratan Dokumen :
1. KTP
2. NPWP
3. Dokumen Info Penghasilan"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding BTN Platinum - Bunga,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding BTN Platinum,Bunga,"1. Bunga Transaksi Ritel: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia) 
2. Bunga Pengambilan Tunai: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia)"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Ovo U Card - Syarat Pencairan & Penutupan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Ovo U Card,Syarat Pencairan & Penutupan,"1. Tidak terdaftar asuransi 
2. Tidak terdaftar autopayment 
3. Tidak ada tagihan berjalan 
4. Tagihan Rp0"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Ovo U Card - Bunga,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Ovo U Card,Bunga,"1. Bunga Transaksi Ritel: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia) 
2. Bunga Pengambilan Tunai: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia)"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Tokopedia Card - Syarat Pembukaan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Tokopedia Card,Syarat Pembukaan,"Persyaratan Umum :
1. Min. surrogate income di Tokopedia Rp3.000.000.
2. Usia min. 21 tahun atau 17 tahun sudah menikah.
3. Memiliki fix phone & contactable.

Persyaratan Dokumen :
1. KTP
2. Selfie"
Kartu Kredit - Kartu Kredit Pemerintah - Kartu Kredit Indonesia - Syarat Pembukaan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Pemerintah,Kartu Kredit Indonesia,Syarat Pembukaan,"Ketentuan Satker APBN :
1. Peraturan Menteri Keuangan Republik Indonesia Nomor 196/PMK.05.2018 tanggal 31 Desember 2018 perihal Tata Cara Pembayaran dan Penggunaan Kartu Kredit Pemerintah, beserta perubahannya.
2. Peraturan Direktur Jenderal Perbendaharaan Nomor PER-12/PB/2022 perihal Tata Cara Pembayaran Atas Beban Anggaran Pendapatan dan Belanja Negara Dengan Menggunakan Kartu Kredit Pemerintah Domestik

Ketentuan Satker APBD :
1. Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 79 Tahun 2022 tanggal 28 April 2022 tentang Petunjuk Teknis Penggunaan Kartu Kredit Pemerintah Daerah Dalam Melaksanakan Anggaran Pendapatan dan Belanja Daerah"
Pinjaman - KMK - KMK - Fitur,2024-03-27 15:49:54,Pinjaman,KMK,KMK,Fitur,"1. Memberikan kelonggaran dan kemudahan penggunaan arus kas perusahaan;
2. Penarikan dapat dilakukan setiap saat dengan menggunakan Bilyet Giro (BG) dan/atau Surat Instruksi Nasabah;
3. Collateral coverage yang fleksibel; dan
4. Limit kredit yang belum ditarik tidak dikenakan bunga"
Pinjaman - KPP - KPP TKI - Definisi,2024-03-27 15:49:54,Pinjaman,KPP,KPP TKI,Definisi,"Kredit Modal Kerja dan atau Kredit Investasi dengan batas atas kredit hingga Rp 500 juta diberikan kepada usaha mikro, usaha kecil dan koperasi dengan bisnis produktif yang akan mendapat jaminan dari Perusahaan Penjamin."
Pinjaman - Briguna - Briguna - Fitur,2024-03-27 15:49:54,Pinjaman,Briguna,Briguna,Fitur,"1. Jangka waktu kredit panjang
2. Proses cepat dan mudah
3. Suku bunga kompetitif"
Pinjaman - KI - KI - Syarat Pembukaan,2024-03-27 15:49:54,Pinjaman,KI,KI,Syarat Pembukaan,"Syarat dan Ketentuan Umum :
1. Calon Debitur merupakan perorangan atau perusahaan berbadan hukum di wilayah Indonesia
2. Konstruksi bangunan berdiri di atas tanah milik nasabah

Dokumen Persyaratan : 
1. Dokumen legalitas usaha
2. Laporan keuangan minimal 2 tahun terakhir (audited/ in-house) sesuai peraturan yang berlaku
3. Copy rekening koran/ rekening simpanan minimal 6 bulan terakhir
4. Rencana Anggaran Biaya (RAB) yang memuat Total Project Cost dan Cash Flow Proyek
5. Dokumen lainnya yang dipersyaratkan oleh Bank"
E-Channel - BRIZZI - BRIZZI - Syarat Pembukaan,2024-03-27 15:49:54,E-Channel,BRIZZI,BRIZZI,Syarat Pembukaan,"Ketentuan Umum
1. BRIZZI menggunakan satuan hitung rupiah dan hanya digunakan di Indonesia.
2. BRIZZI bukan merupakan simpanan dan dana yang terdapat di dalamnya tidak diberikan bunga serta tidak dijamin oleh Lembaga Penjamin Simpanan (LPS).
3. Kepemilikan BRIZZI dapat dialihkan dengan cara memberikan fisik BRIZZI kepada orang lain.
4. BRIZZI yang hilang, dicuri atau digunakan oleh pihak yang tidak berwenang tidak dapat diblokir maupun diganti dengan kartu yang baru. Segala akibat atas BRIZZI yang hilang atau dicuri menjadi tanggung jawab Pemegang Kartu sepenuhnya.
5. Pemegang Kartuhanya dapat menggunakan BRIZZI untuk transaksi pembayaran selama dana yang ada pada BRIZZI cukup.
6. Kepemilikan kartu BRIZZI tidak dikenakan biaya administrasi bulanan.
7. Pemegang Kartu wajib memelihara fisik BRIZZI sehingga tidak rusak, patah, atau nomor BRIZZI masih dapat diidentifikasi.
8. Keterangan dan perhitungan dari Bank BRI terkait Transaksi pembayaran, transaksi-transaksi lainnya  dan atau nominal saldo BRIZZI sebagai akibat pemakaian BRIZZI, merupakan bukti  yang mengikat kecuali dapat dibuktikan sebaliknya.
9. Pengguna BRIZZI tunduk pada ketentuan-ketentuan yang berlaku di Bank BRI serta syarat-syarat dan ketentuan-ketentuan yang mengatur semua jasa atau fasilitas dan Transaksi Pembayaran ataupun Transaksi Top up yang dicakup oleh BRIZZI termasuk setiap perubahan yang akan diinformasikan terlebih dahulu oleh Bank BRI dengan mengacu pada ketentuan perundang-undangan  yang  berlaku.
10. Batas maksimal nominal saldo yang tersimpan pada kartu sebesar Rp 2.000.000 (dua juta rupiah).
11. Batas nilai transaksi BRIZZI dalam 1 (satu) bulan paling banyak Rp 20.000.000 (dua puluh juta rupiah).
12. Nilai rupiah pada BRIZZI sama dengan nilai rupiah pada uang tunai.
13. Nominal Saldo adalah nilai uang elektronik yang tercatat pada kartu/chip BRIZZI.
14. Perangkat BRIZZI adalah perangkat keras yang digunakan membaca kartu BRIZZI atau bertransaksi dengan kartu BRIZZI, perangkat keras dapat berupa EDC, Ponsel  NFC, ATM dan Reader.
15. Saldo deposit/tertunda adalah nilai uang elektronik yang tercatat di server BRIZZI.
16. Top Up Online adalahTop-up untuk menambah nominal saldo pada kartu BRIZZI yang dapat dilakukan di Perangkat BRIZZI.
17. Top Up Deposit/tertunda adalah menambah saldo deposit pada BRIZZI dapat dilakukan di ATM BRI, EDC BRIZZI, BRImo, dan SMS Banking"
E-Channel - BRIZZI - BRIZZI - Fitur,2024-03-27 15:49:54,E-Channel,BRIZZI,BRIZZI,Fitur,"Top Up Saldo BRIZZI dapat dilakukan dengan cara berikut : 

1. Top Up Online
Transaksi isi ulang yang langsung menambahkan saldo pada kartu BRIZZI dan bisa digunakan bertransaksi

2. Top Up Deposit / Top Up Tertunda
Transaksi isi ulang yang menambahkan saldo deposit pada kartu BRIZZI namun belum bisa digunakan bertransaksi. Agar saldo deposit bisa digunakan bertransaksi harus dilakukan “Aktivasi Deposit” dahulu di BRImo mesin, ATM/CRM atau EDC BRI

3. Top Up Tunai
Isi Ulang BRIZZI dengan menggunakan uang tunai melalui merchant yang bekerjasama atau melalui agen BRILink dan Unit Kerja BRI.

TopUp Saldo BRIZZI secara Online atau Tertunda dapat dilakukan melalui : 
1. BRImo
2. ATM/CRM BRI
3. Mesin EDC BRI"
E-Channel - Senyum Mobile - Senyum Mobile - Syarat Pembukaan,2024-03-27 15:49:54,E-Channel,Senyum Mobile,Senyum Mobile,Syarat Pembukaan,"Tabungan Simpedes UMI
- Nasabah SenyuM Mobile dapat mengakses produk Pinjaman BRI dengan mengakses fitur ""Beranda”. Sebelumnya Nasabah diwajibkan untuk login terlebih dahulu ke dalam akun SenyuM Mobile.
- Telah melakukan usaha secara aktif minimal 6 bulan (pinjaman KUR) dan minimal 1 tahun (pinjaman Kupedes)
- Melampirkan legalitas usaha (minimal surat keterangan usaha dari Kepala Desa / Lurah / Pasar)
- Persyaratan administrasi : Identitas berupa KTP, Kartu Keluarga (KK), dan surat izin usaha
- Menyetujui persyaratan pinajaman yang berlaku

Tabungan Emas Pegadaian
- Nasabah SenyuM Mobile dapat mengakses produk Tabungan Emas dengan mengakses fitur ""Beranda”. Sebelumnya Nasabah diwajibkan untuk login terlebih dahulu ke dalam akun SenyuM Mobile.
- Pembayaran pembelian emas dapat dilakukan melalui rekening tabungan Simpedes UMi atau BRI Virtual Account (BRIVA).

Pinjaman BRI
- Pinjaman BRI hanya diperuntukan oleh nasabah pengusaha mikro, sehingga calon Debitur wajib memiliki usaha.
- Nasabah SenyuM Mobile dapat mengakses produk Pinjaman BRI dengan mengakses fitur ""Beranda”. Sebelumnya Nasabah diwajibkan untuk login terlebih dahulu ke dalam akun SenyuM Mobile.

Pinjaman Gadai
Nasabah SenyuM Mobile dapat mengakses produk Pinjaman BRI dengan mengakses fitur ""Beranda”. Sebelumnya Nasabah diwajibkan untuk login terlebih dahulu ke dalam akun SenyuM Mobile.

PNM Mekaar
- Nasabah SenyuM Mobile dapat mengakses produk Pinjaman BRI dengan mengakses fitur ""Beranda”. Sebelumnya Nasabah diwajibkan untuk login terlebih dahulu ke dalam akun SenyuM Mobile.
- WNI
- Usia 18-63 tahun pada saat pertama kali menerima pembiayaan.
- Pembiayaan PNM Mekaar diwajibkan untuk usaha produktif
- Nasabah bukan pegawai/pekerja
Pembiayaan PNM Mekaar tidak mensyaratkan agunan fisik"
Simpanan - Giro - Giro BRI Rupiah - Biaya,2024-06-14 08:28:11,Simpanan,Giro,Giro BRI Rupiah,Biaya,"[{""name"":""Biaya Administrasi Bulanan"",""table_data"":[[{""key"":""0-0"",""value"":""Ratas Saldo"",""row_span"":1,""col_span"":1},{""key"":""0-1"",""value"":""Biaya"",""row_span"":1,""col_span"":1}],[{""key"":""1-0"",""value"":""Ratas saldo ≥ Rp. 10 juta"",""row_span"":1,""col_span"":1},{""key"":""1-1"",""value"":""Gratis"",""row_span"":1,""col_span"":1}],[{""key"":""2-0"",""value"":""Ratas saldo < Rp 10 juta"",""row_span"":1,""col_span"":1},{""key"":""2-1"",""value"":""Rp. 35.000,- (Rp 25.000 administrasi + Rp 10.000  materai)"",""row_span"":1,""col_span"":1}],[{""key"":""3-0"",""value"":""Ratas saldo < Rp 500 ribu"",""row_span"":1,""col_span"":1},{""key"":""3-1"",""value"":""Rp. 60.000 (Rp 25.000 administrasi + Rp 10.000  materai + Rp 25.000 pinalti / denda)"",""row_span"":1,""col_span"":1}]]}]"
E-Channel - Qlola - QLola Mobile - Syarat Pembukaan,2024-06-14 08:54:07,E-Channel,Qlola,QLola Mobile,Syarat Pembukaan,"- Calon pengguna adalah Nasabah Non Individu Role Checker, Approver & Releaser
- Dapat diunduh melalui Google Play Store & App Store 
- Merupakan complimentary service dari website QLola by BRI 
- User management yang berlaku di aplikasi QLola Mobile, mengacu pada User Management yang telah diatur pada QLola versi web platform.
- QLola Mobile dapat mengidentifikasi user berdasarkan paltform QCash atau IBBIZ

Saat ini QLola by BRI terintegrasi dengan dua jenis platform yaitu QCash dan IBBIZ dimana masing-masing memiliki target Corp id"
Simpanan - Tabungan - Simpedes Usaha - Fitur,2024-03-27 15:49:54,Simpanan,Tabungan,Simpedes Usaha,Fitur,"1. Fasilitas E-Banking
2. Kartu Debit:Simpedes GPN Premium
3. Masa dormant: 365 hari"
Simpanan - Tabungan - Simpedes Bisa - Syarat Pencairan & Penutupan,2024-03-27 15:49:54,Simpanan,Tabungan,Simpedes Bisa,Syarat Pencairan & Penutupan,"Ketentuan Pencairan dan Penutupan Impian:
1. Pencairan sebagian Impian maksimal 50% dari total saldo
2. Penutupan dipercepat Impian dan seluruh saldo akan otomatis dikreditkan ke  rekening induknya
3. Jika autodebet gagal dikarenakan saldo  dari rekening induk kurang selama 3  kali/bulan berturut-turut, maka impian  akan closed secara sistem dan saldo akan  dipindahkan ke rekening induk

Ketentuan pencairan investasi (BRIFINE)
1. Masa kepesertaan telah berjalan min 1 tahun dan usia nasabah telah menginjak 30 tahun.
2. Dapat diajukan melalui seluruh Unit Kerja BRI.
3. Mengisi formulir penutupan BRIFINE dengan melengkapi dokumen  copy KTP, copy NPWP (jika ada).
4. Dokumen dikirim ke Divisi Investment Service oleh Unit Kerja
5. Dana akan dikreditkan ke rek induk nasabah max 14 hari kerja.  Dana yang diterima adalah seluruh hasil pengembangan dikurangi  biaya-biaya dan pajak (nett)."
Simpanan - Tabungan - Britama Bisnis - Biaya,2024-03-27 15:49:54,Simpanan,Tabungan,Britama Bisnis,Biaya,"1. Biaya administrasi bulanan kartu
Saldo ≤ Rp 5 Juta : Rp50.000
Saldo > Rp 5 Juta : Gratis
2. Biaya Pinalty (Apabila Ratas Saldo <Rp. 5.000.000): Rp50.000
3. Administrasi Penarikan Di Teller: ≤ Rp 5.000.000 dikenakan Rp10.000
4. Biaya tutup rekening: Rp.50.000
5. Biaya Penggantian Buku Tabungan Karena Penuh: Gratis
6. Biaya Penggantian Buku Karena Rusak: Rp25.000"
Simpanan - Tabungan - Britama X - Limit,2024-03-27 15:49:54,Simpanan,Tabungan,Britama X,Limit,"1. Transaksi Tarik tunai Rp10.000.000,-
2. Transfer Antar Bank
a. ATM Rp15.000.000,-
b. BRImo Rp25.000.000,-
3. Transfer sesama Bank
a. ATM Rp100.000.000,-
b. BRImo Rp200.000.000,-"
Simpanan - Deposito - Deposito On Call Valas - Bunga,2024-03-27 15:49:54,Simpanan,Deposito,Deposito On Call Valas,Bunga,1. Pembayaran bunga akan dilakukan secara otomatis setiap tanggal jatuh tempo melalui mekanisme overbooking ke rekening (Tabunan/Giro) yang didaftarkan atau ditambahbukukan ke pokok Deposito pada tanggal jatuh pokok.
Simpanan - Deposito - Deposito On Call Valas - Syarat Pencairan & Penutupan,2024-03-27 15:49:54,Simpanan,Deposito,Deposito On Call Valas,Syarat Pencairan & Penutupan,"1. Pencairan Deposit On Call tidak dipungut biaya administrasi, hanya dikenakan biaya materal
2. Tidak diperkenankan untuk dicairkan sebelum jatuh tempo. Jika dicairkan sebelum jatuh tempo, maka bunga berjalan tidak dibayarkan
3. Pencairan hanya dapat dilakukan di KCK/KC/KCP/KK asal tempat membuka rekening"
Simpanan - Prioritas - Prioritas - Definisi,2024-03-27 15:49:54,Simpanan,Prioritas,Prioritas,Definisi,"BRI Prioritas adalah layanan eksklusif untuk Nasabah Prioritas yang tidak hanya menghadirkan layanan perbankan, tetapi juga menghadirkan layanan konsultasi perencanaan keuangan yang terintegrasi memberikan solusi bagi nasabah dalam mengembangkan, memproteksi, dan meneruskan kekayaan. (Wealth Management Experience)."
Investasi - Investasi - Britama Rencana - Definisi,2024-03-27 15:49:54,Investasi,Investasi,Britama Rencana,Definisi,"Tabungan investasi yang memberikan kebebasan perencanaan dana, perlindungan, dan kepastian untuk berbagai kebutuhan  seperti dana liburan, pendidikan, perjalanan ibadah, pernikahan, hingga dana pensiun."
Investasi - Investasi - Junio Rencana - Syarat Pembukaan,2024-03-27 15:49:54,Investasi,Investasi,Junio Rencana,Syarat Pembukaan,"Usia Nasabah 0 s.d 12 Tahun
1. Orang tua memiliki rekening Tabungan BRI BritAma/Simpedes. Bagi orang tua yang belum memiliki rekening di BRI dapat melakukan pembukaan rekening Tabungan BRI
Mengisi form aplikasi pembukaan rekening
Kartu Keluarga/Akte Kelahiran
Setoran awal sebesar Rp. 100.000,-
Fotocopy NPWP
Dilakukan AFT dari rekening Orang Tua

Usia Nasabah > 12 s.d 17 Tahun
Mengisi form aplikasi pembukaan rekening
Identitas Diri
WNI : Kartu Pelajar
Setoran awal sebesar Rp. 150.000,-
Pembukaan Rekening dengan Kartu Pelajar dilengkapi dengan Fotokopi KTP Orang Tua dan Surat Pernyataan dari Orang Tua"
Investasi - Investasi - Simpedes Impian - Definisi,2024-03-27 15:49:54,Investasi,Investasi,Simpedes Impian,Definisi,"BRI Simpedes Impian merupakan konsep tabungan berjangka yang bebas dari biaya administrasi. Setoran awalnya minimal Rp100.000 dengan kelipatan Rp100.000. Untuk jangka waktu tabungan Simpedes Impian, yaitu selama 1-10 tahun."
Investasi - Investasi - Sukuk (SR) - Syarat Pembukaan,2024-03-27 15:49:54,Investasi,Investasi,Sukuk (SR),Syarat Pembukaan,"SYARAT & KETENTUAN :
Individu / perorangan yang dibuktikan dengan KTP yang ber-NIK
Pemesanan minimum Rp 1.000.000,- dan kelipatannya, 
maksimal Rp 2.000.000.000,-*
Memiliki rekening Tabungan BRI BritAma/Simpedes/GiroBRI 
atas nama calon investor
Mengisi Formulir Pemesanan.
(ketentuan minimum @ maksimum pembelian sesuai dengan 
ketentuan dari Kemenkeu)"
Investasi - Investasi - Sukuk Tabungan - Definisi,2024-03-27 15:49:54,Investasi,Investasi,Sukuk Tabungan,Definisi,SBSN Tabungan yang selanjutnya disebut Sukuk Tabungan adalah SBSN yang  merupakan tabungan investasi orang perseorangan Warga negara Indonesia yang  ditawarkan dalam mata uang Rupiah melalui Agen Penjual yang diterbitkan tanpa  warkat dan tidak dapat diperdagangkan dan dialihkan.
Bancassurance - Bancassurance - Davestera Optima - Syarat Pembukaan,2024-03-27 15:49:54,Bancassurance,Bancassurance,Davestera Optima,Syarat Pembukaan,"Usia masuk :
tertanggung 1-65 tahun

Asuransi dasar :
100-usia masuk tertanggung (term life)
65-usia masuk tertanggung (manffat meninggal dunia akibat kecelakaan)

Premi :
Minimum Rp 15.000.000 (lima belas juta rupiah)

Premi Top Up :
Minimum Rp. 1.000.000, penambahan selajutnya kelipatan Rp. 100.000
*tidak ada batasan maksimum dan dapat dibayarkan kapanpun

Up minimum :
150% dari premi dasar sekaligus atau Rp. 100.000.000, (100 Juta)

Masa bayar premi :
Tunggal/sekaligus (sekali bayar)

Asuransi tambahan :
Berjangka waktu lebih dari 1 (satu) tahun yang syarat dan kondisi polisnya dapat diperbaharui kembali (renewable) pada setiap ulang tahun polis, atau 
sampai dengan tertanggung telah mencapai batas usia tertentu sesuai ketentuan masing-masing asuransi tambahan."
Kartu Kredit - Kartu Kredit Umum - Easy Card - Limit,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,Easy Card,Limit,"1. Limit Kartu Kredit: Rp3.000.000 - Rp4.999.999
2. Maximum Cash Advance: 60% dari sisa limit atau maksimal Rp10.000.000 per hari"
Kartu Kredit - Kartu Kredit Umum - Touch - Bunga,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,Touch,Bunga,"1. Bunga Transaksi Ritel: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia)
2. Bunga Pengambilan Tunai: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia)"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Wonderful Indonesia - Syarat Pencairan & Penutupan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Wonderful Indonesia,Syarat Pencairan & Penutupan,"1. Tidak terdaftar asuransi 
2. Tidak terdaftar autopayment 
3. Tidak ada tagihan berjalan 
4. Tagihan Rp0"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Raya - Definisi,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Raya,Definisi,"Kartu Kredit yang diterbitkan oleh BRI bersinergi dengan anak perusahaan Bank Raya. Kartu ini hanya dipasarkan kepada nasabah simpanan dan pinjaman, serta karyawan Bank Raya"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Raya - Fitur,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Raya,Fitur,"1. Gratis Annual Fee 1 tahun pertama
2. Cicilan 0% tenor s.d. 24 bulan untuk transaksi di merchant Kerjasama atau melalui aplikasi BRI Credit Card Mobile
3. Promo menarik di merchant pilihan kerjasama Bank BRI (Info kartu kredit.bri.co.id)"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding BTN Gold - Limit,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding BTN Gold,Limit,"1. Limit Kartu Kredit: Rp 3.000.000 – Rp 14.999.999
2. Maximum Cash Advance: 60% dari sisa limit atau maksimal Rp10.000.000 per hari"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding BTN Gold - Biaya,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding BTN Gold,Biaya,"1. Annual Fee
a. Annual Fee Basic: Rp300.000
b. Annual Fee Supplement: Rp150.000
2. Biaya Overlimit: Rp75.000
3. Biaya Keterlambatan Pembayaran: 1% dari total tagihan atau maksimal Rp100.000
4. Biaya Penggantian Kartu: Rp50.000
5. Biaya Pengiriman Tagihan Kertas: Rp20.000
6. Biaya Cetak Ulang Billing: Rp10.000
7. Biaya Copy Sales Draft Lokal: Rp25.000
8. Biaya Copy Sales Draft Internasional: Rp150.000
9. Biaya Penggantian PIN: Rp25.000
10. Biaya Ringkasan Transaksi Tahunan: Rp100.000
11. Biaya Kenaikan Limit: Rp50.000
12. Biaya Penagihan Rp50.000
13. Biaya Admin Tarik Tunai 6% atau minimal: Rp100.000
14. Biaya Materai Trx > Rp 5 juta: Rp10.000
15. Biaya SMS Notifikasi: Gratis
16. Biaya Pengiriman E-Statement: Rp5.000
17. Biaya Refund Saldo Kredit
a. Minimal Refund: Rp500.000
b. Rekening BRI: Rp25.000
c. Non BRI: Rp50.000
18. Min. Pembayaran 5% dari tagihan atau Rp50.000, khusus transaksi cicilan, minimal pembayaran sebesar tagihan cicilan per bulan
19. Biaya Admin Transaksi Internasional 2% dari transaksi yang ditagihkan
20. Jatuh tempo 17 hari sejak tanggal cetak tagih"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Kartu Emas Pengadaian - Fitur,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Kartu Emas Pengadaian,Fitur,"1. One stop solution in apps
2. Limit kartu kredit disesuaikan dengan saldo Tabungan Emas
3. Tagihan kartu kredit akan dikonversikan menjadi saldo Gadai Tabungan Emas pada saat jatuh tempo dengan Bunga 0,75%
per 15 hari."
Kartu Kredit - Kartu Kredit Co-Branding - Mastercard Corporate KKP - Bunga,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Mastercard Corporate KKP,Bunga,"1. Bunga Transaksi Ritel: Gratis 
2. Bunga Pengambilan Tunai: Tidak ada fitur tarik tunai"
Kartu Kredit - Kartu Kredit Pemerintah - Kartu Kredit Indonesia - Bunga,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Pemerintah,Kartu Kredit Indonesia,Bunga,"1. Bunga Transaksi Ritel: Gratis 
2. Bunga Pengambilan Tunai: Tidak ada fitur tarik tunai"
Pinjaman - KPP - KPP - Syarat Pembukaan,2024-03-27 15:49:54,Pinjaman,KPP,KPP,Syarat Pembukaan,"Nilai dan Jangka Waktu Pinjaman
1. Plafond kredit maksimal Rp 5 miliar
2. Jangka waktu kredit disesuaikan dengan profil nasabah, maksimal 25 tahun

Dokumen Mandatory
a. Formulir Permohonan
b. Copy KTP Pemohon & Pasangan untuk WNI atau KITAS/ KITAB/ Surat Izin Tinggal untuk WNA
c. Copy Kartu Keluarga & Akta Surat Nikah
d. Copy NPWP Pribadi
e. Copy Rekening Koran/ Simpanan 3 bulan terakhir
f. Pricelist dari Developer atau Surat Penawaran Calon Penjual
g. Dokumen lain yang dipersyaratkan oleh bank.

Nasabah Perorangan Fixed Income
a. Asli Surat Keterangan Kerja atau Surat Rekomendasi Perusahaan
b. Slip Gaji atau Surat Keterangan Gaji
c, Bukti kontrak kerja yang sah antara calon debitur dengan perusahaan tempat calon debitur bekerja (untuk calon debitur WNA).

Nasabah Perorangan Non-Fixed Income / Profesional
a. Copy Surat Izin Praktik
b. Copy Surat Pengangkatan Sumpah Profesi
c. Telah menjalankan praktik profesi minimal 6 bulan

Wiraswasta / Pengusaha
a. Telah menjalankan usaha minimal 2 tahun
b. Copy Izin Usaha (SITU, SIUP, TDP)
c. Copy Akta Pendirian Perusahaan beserta perubahannya"
Pinjaman - KI - KI - Bunga,2024-03-27 15:49:54,Pinjaman,KI,KI,Bunga,Besarnya suku bunga mengacu pada keputusan ALCO atau suku bunga program khusus yang berlaku.
E-Channel - Direct Debit - Direct Debit - Fitur,2024-03-27 15:49:54,E-Channel,Direct Debit,Direct Debit,Fitur,"1. Pengguna Potensial >30 juta (financial mobile banking)
2. Mendukung Transaksi Kartu Debit GPN dan Mastercard GPN : MC = 70% : 30%
3. Mendukung beragam model pembayaran Recurring Transaction – Refund
4. Real Time Settlement"
E-Channel - BRIZZI - BRIZZI - Definisi,2024-03-27 15:49:54,E-Channel,BRIZZI,BRIZZI,Definisi,BRIZZI merupakan Uang elektronik dengan menggunakan teknologi Chip sebagai pengganti uang tunai yang berfungsi sebagai alat pembayaran yang bisa dipakai untuk membayar transaksi belanja (purchase) atau transaksi lainnya yang dilakukan di penyedia barang atau jasa
E-Channel - Senyum Mobile - Senyum Mobile - Fitur,2024-03-27 15:49:54,E-Channel,Senyum Mobile,Senyum Mobile,Fitur,"1. Pengajuan Produk Simpedes UMi
2. Pengajuan Produk Tabungan Emas
3. Pengajuan Produk Pinjaman BRI
4. Pengajuan Produk Pinjaman Gadai
5. Pengajuan Produk PNM Mekaar"
E-Channel - EDC Merchant - EDC Merchant - Definisi,2024-03-27 15:49:54,E-Channel,EDC Merchant,EDC Merchant,Definisi,"Mesin EDC BRI atau Electronic Data Center adalah mesin yang digunakan untuk menerima transaksi pembayaran dengan beragam jenis kartu. Contohnya seperti Kartu Debit, Kartu Kredit, BRIZZI hingga pembayaran menggunakan QRIS. Mesin ini umumnya tersedia di supermarket, kafe, mal, restoran, dan sebagainya."
E-Channel - QRIS - QRIS - Definisi,2024-03-27 15:49:54,E-Channel,QRIS,QRIS,Definisi,"QRIS atau Quick Response Code Indonesian Standard adalah standarisasi pembayaran menggunakan metode QR Code dari Bank Indonesia agar proses transaksi dengan QR Code menjadi lebih mudah, cepat, dan terjaga keamanannya."
