title,modified_time,nama_program,deskripsi,benefit,syarat_dan_ketentuan,start,end
Program Desa Brilian Tahun 2024,2024-03-27 15:38:27,Program Desa Brilian Tahun 2024,Program Desa Brilian adalah program pemberdayaan desa yang diselenggarakan oleh Bank BRI sebagai komitmen Bank BRI dalam mengembangkan potensi desa binaan BRI yang memiliki seluruh atau kombinasi dari 4 aspek ekosistem,"Objek Pemberdayaan dalam Program Desa Brilian terdiri dari: Kepala Desa/ perangkat desa, Direktur BUMDes dan pengurusnya, Perwakilan Badan Permusyawaratan Desa (BPD), Tokoh Masyarakat serta Kelompok Usaha (Klaster Pokdarwis, dll)","1. Memiliki seluruh atau kombinasi dari 4 aspek ekosistem
● BUMDes : BUMDes sebagai penggerak ekonomi desa
● Digitalisasi : Pemanfaatan produk-produk digital BRI 
● Innovation : Desa yang kreatif dalam memecahkan permasalahan dengan mengoptimalkan potensi desa.
● Sustainability : Desa tangguh yang mampu meningkatkan kesejahteraan masyarakat desa melalui sektor usaha unggulan desanya secara berkelanjutan.",2024-01-01 00:00:00,2024-12-31 00:00:00
BRIpoin 2024,2024-03-27 15:38:27,BRIpoin 2024,"BRIPoin adalah program loyalitas yang ditujukan untuk seluruh Nasabah Bank BRI (BritAma, Simpedes, E-Banking, Kartu Debit dan Kartu Kredit). Perbanyak Poin Anda dari segala jenis transaksi di Bank BRI dan tukar poin dengan beragam voucher menarik dan kupon undian berhadiah.",BRIPoin selalu menyediakan berbagai penawaran menarik dari merchant-merchant ternama yang dapat kamu nikmati baik untuk memenuhi kebutuhan kamu sehari-hari ataupun untuk bersantai menikmati waktu bersama keluarga dan teman-teman terdekat. Kamu dapat melihat penawaran menarik kami di bripoin.bri.co.id,"1. Ketentuan Umum:
a. Poin dari Program BRIPoin adalah BRIPoin
b. Aktivitas perbankan nasabah yang dihitung poin pada Program BRIPoin ini adalah untuk Tabungan BritAma, Giro, e-banking, Kartu Kredit dan transaksinya.
c. Produk tabungan BRI yang dapat memperoleh poin adalah khusus untuk tabungan perorangan baik dalam rupiah maupun dalam valuta asing, dengan jenis tabungan utama yang harus dimiliki Nasabah yaitu BritAma, BritAma bisnis, Junio, BritAma rencana dan/atau produk tabungan tambahan atau tabungan lain yang ditentukan oleh BRI
d. Produk Kartu Kredit yang dapat memperoleh poin adalah khusus untuk kartu kredit BRI Touch, BRI Mastercard Platinum, JCB Platinum, Visa Infinite, World Access, Business Card, BTN Gold dan BTN Platinum.
e. Produk e-banking yang dapat memperoleh poin adalah khusus untuk e-banking seperti BRIMo, Internet Banking, Mobile Banking, SMS Notifikasi dan/atau produk e-banking lain yang ditentukan oleh BRI.
f. Poin dihitung berdasarkan Customer Identification File (CIF) per Nasabah atau akumulasi semua produk Nasabah apabila nasabah memiliki lebih dari 1 (satu) produk BRI.
g. Dalam hal terdapat perbedaan data terhadap perhitungan BRIPoin yang dicatat oleh Nasabah dengan yang tercatat pada sistem BRI, maka yang dapat dijadikan acuan adalah data perhitungan poin pada sistem BRI.
h. BRIPoin yang tidak ditukarkan (redeem), akan terakumulasi dengan BRIPoin yang diperoleh selanjutnya sampai dengan batas waktu kadaluarsa poin.
i. Aktivitas perbankan yang dilakukan oleh nasabah untuk mengumpulkan poin mengikuti ketentuan yang berlaku sesuai masing-masing aktivitas yang dilakukan, seperti ketentuan pembukaan rekening, aktivasi e-channel dan lain-lain.
j. Ketentuan program ini tidak merubah ketentuan aktivitas perbankan lainnya yang ada di BRI
k. Nasabah tetap tunduk dan patuh pada syarat dan ketentuan yang berkaitan pada aktivitas perbankan yang ditetapkan oleh BRI termasuk peraturan perundangan yang berlaku
l. BRI dapat melakukan perubahan sewaktu-waktu terkait syarat dan ketentuan, yang selanjutnya akan diinformasikan BRI kepada seluruh Nasabah dalam bentuk dan cara yang ditetapkan oleh BRI
m. Keputusan, ketentuan, maupun perubahan ketentuan yang dibuat oleh BRI tidak dapat diganggu gugat.",2024-01-01 00:00:00,2024-12-31 00:00:00
BRIguna Karya PHO,2024-06-14 07:57:45,BRIguna Karya PHO,"BRIguna Karya PHO (PPPK, Honorer,Outsourcing).
Program BRIguna dalam rangka meningkatkan market share BRIguna Karya di segmen Pegawai / Karyawan kontrak, Honorer dan Outsourcing yang menggunakan payroll di BRI.",Periode Program : 1 April s/d 30 Juni 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :	
a. PPPK Kementrian/Lembaga
b. Honorer Kementrian/Lembaga
c. Kontrak/OS BUMN Group dan BUMD
d. Kontrak/OS Swasta
e. Kontrak/OS Pekerja BRI
f. Kontrak/OS BRI Group

2. Ketentuan:	
a. Min. Masa Kerja adalah 12 bulan untuk PPPK
b. Min. Masa Kerja adalah 24 bulan untuk Honorer
c. Min. Masa Kerja < 3 Tahun: maks. Tenor adalah 12 bulan untuk kontrak/OS (BUMN Group/BUMD/BRI Group/Pekerja BRI)
d. Min. Masa Kerja > 3 Tahun: maks. Tenor adalah 24 bulan untuk kontrak/OS (BUMN Group/BUMD/BRI Group/Pekerja BRI)

3. Suku Bunga Kredit
a. Jenis Potensi PPPK Kementrian/Lembaga, Jangka Waktu s/d 5 tahun, Plafond Maks Rp. 300 Juta, Suku Bunga (TO/Baru/Suplesi) 12,00% - 14.00%
b. Jenis Potensi Honorer Kementrian/Lembaga, Jangka Waktu s/d 24 bulan, Plafond Maks Rp. 25 Juta, Suku Bunga (TO/Baru/Suplesi) 12,00% - 14.00%
c. Jenis Potensi Kontrak/OS BUMN Group dan BUMD, Jangka Waktu s/d 24 bulan, Plafond Maks Rp. 20 Juta, Suku Bunga (TO/Baru/Suplesi) 12,00% - 14.00%
d. Jenis Potensi Kontrak/OS Swasta, Jangka Waktu s/d 24 bulan, Plafond Maks. Rp. 20 Juta, Suku Bunga (TO/Baru/Suplesi) 12,00% - 14.00%
e. Jenis Potensi Kontrak/OS Pekerja BRI, Jangka Waktu s/d 24 bulan, Plafond Maks Rp. 20 Juta, Suku Bunga (TO/Baru/Suplesi) 12,00% - 14.00% 
f. Jenis Potensi Kontrak/OS BRI Group, Jangka Waktu s/d 24 bulan, Plafond Maks Rp. 20 Juta, Suku Bunga (TO/Baru/Suplesi) 12,00% - 14.00%

4. Biaya Provisi dan Administrasi khusus
a. Take Over Baru : 0.5% x Plafond
b. Suplesi : 0.75 x Plafond

5. Biaya Administrasi
a. Take Over s/d 200 Juta : Rp. 100.000
b. Take Over >200 s/d 500 Juta : Rp. 200.000
c. Take Over >500 Juta : Rp. 300.000",2024-06-14 00:00:00,2024-06-30 00:00:00
Program Tabungan BritAma Flexy 2024,2024-03-27 15:38:27,Program Tabungan BritAma Flexy 2024,Program BritAma Rencana Flexy merupakan program yang ditujukan untuk nasabah individu yang melakukan pembukaan Britama Rencana Flexy melalui BRImo sesuai dengan kriteria dan periode program.,"a. Benefit berupa Bonus 10.000 BRIpoin bagi 10.000 Nasabah pertama yang melakukan pembukaan BRItAma Rencana Flexy.
b.  Extra Cashback Rp100.000 bagi 1.000 nasabah pertama yang melakukan pembukaan BRItAma Rencana Flexy.","a.  Program khusus diberikan kepada nasabah BRItAma Rencana Flexy di BRImo.
b.  Minimum setoran perbulan Rp1.000.000 dengan jangka waktu 12 bulan.
c. Reward akan diberikan maksimum 14 hari kerja setelah periode program.",2024-01-10 00:00:00,2024-04-10 00:00:00
KPP Client Service Team,2024-06-15 07:21:58,KPP Client Service Team,"Program KPP Client Service Team
Maksimal kuota realisasi Rp 500 miliar khusus Nasabah Private dan Prioritas dengan tujuan penggunaan:
1. Baru (primary) dari Developer PKS BRI			
2. Pembelian Baru Ready Stock Developer Non PKS BRI			
3. Pembelian bekas khusus properti di dalam lingkungan			
4. Perumahan Developer			
5. Pembelian bekas dari Property Agent PKS			
6. Take Over Top Up dan Top Up",Periode Program : 1 April s/d 31 Juli 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :	
a. Untuk pegawai perusahaan yang sudah terdaftar di list CST BRI
b. Debitur sudah atau akan berpayroll di BRI

2. Ketentuan
a. Pengendapan dana minimal 1x angsuran dalam bentuk tabungan yang diblokir minimal selama masa fixed rate
b. Penalti pelunasan maju sebagian : 10% dari dana yang disetor 
c. Penalti pelunasan maju seluruh : 10% dari sisa OS kemudian ditambah dengan bunga berjalan

3. Suku Bunga Kredit
a. Suku bunga 3.25% fixed 1 tahun, selanjutnya Counter rate dengan Tenor min 5 tahun.
b. Suku bunga 3.65% fixed 3 tahun, selanjutnya Counter rate dengan Tenor min 8 tahun.
c. Suku bunga 4.65% fixed 5 tahun, selanjutnya Counter rate dengan Tenor min 10 tahun.

4. Biaya Biaya:
a. Item Provisi dengan Biaya 0.5% dari plafond kredit
b. Item Administrasi dengan Biaya Rp. 500.000 atau 0.1% dari plafond kredit.",2024-06-15 00:00:00,2024-07-31 00:00:00
KPP  Private & Prioritas (2),2024-06-15 07:43:40,KPP  Private & Prioritas (2),"Program KPP Nasabah Private dan Prioritas (2)
Kuota Program Rp 150 Miliar, khusus Untuk Nasabah Private dan Prioritas BRI dengan tujuan penggunaan :	
a. Take over
b. Pembangunan
c. Refinancing (khusus properti di dalam lingkungan Developer Tier 1)",Periode Program : 1 April s/d 31 Juli 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :	
a. Fixed Income
b. Non-Fixed Income

2. Ketentuan:	
a. Program simplifikasi dokumen merupakan simplifikasi verifikasi dokumen dan analisa kredit menggunakan laporan portofolio AUM nasabah prioritas BRI
b. Sudah menjadi Nasabah Prioritas minimal 12 bulan saat pengajuan KPR.
c. Maksimum plafond KPP yang dapat diberikan adalah sebesar maksimal 2 kali nilai AUM atau Rp.10 Miliar dengan tetap memperhatikan cashflow calon debitur dan kewajaran nilai agunan. Untuk plafond KPP diatas Rp10 Miliar maka analisa kredit mengikuti ketentuan internal yang berlaku
d. Portofolio AUM yang diperhitungkan hanya portofolio simpanan (tabungan, deposito, dan giro).

3. Suku bunga Kredit
a. Suku Bunga 8.10% fixed 3 tahun, selanjutnya counter rate dengan enor 5 tahun.
b. Suku Bunga 8.25% fixed 5 tahun, selanjutnya counter rate dengan enor 8 tahun.

4. Biaya Biaya
a. Item Provisi dengan Biaya 0.5% dari plafond kredit.
b. Item Administrasi dengan Biaya Rp. 500.000 atau 0.1% dari plafond kredit.",2024-06-15 00:00:00,2024-07-31 00:00:00
Program Loan on Phone Tahun 2024,2024-06-14 03:05:34,Program Loan on Phone Tahun 2024,Dana Tunai Kartu Kredit BRI (Loan On Phone) adalah fasilitas yang diberikan kepada Pemegang Kartu Kredit BRI untuk memindahkan sejumlah rupiah (50% dari sisa limit 50% dari sisa limit atau maksimum Rp 75.000.000 ) ke rekening BRITAMA / SIMPEDES Bank BRI..,"1. Pilihan jangka waktu cicilan yang diberikan mulai 3 bulan sampai dengan 36 bulan. 
2. Maksimal dana tunai yang dapat ditransfer ke rekening BRI adalah 50% dari sisa limit atau Rp75.000.000
3. Biaya administrasi adalah 1% atau minimal Rp. 200.000,- (Dua ratus ribu rupiah)
4. Minimum pengajuan program adalah sebesar Rp. 1.000.000,- (Satu juta rupiah)","1. Pengajuan Loan on Phone mengacu ke skema sesuai Nota Dinas No. B.350.e-CDD/SPD/SCD/04/2024.
2. Pemegang Kartu Kredit BRI dapat mengikuti Program Dana Tunai Kartu Kredit BRI dengan menghubungi Contact BRI 1500017 atau melalui aplikasi BRI Credit Card Mobile.
3. Dana ditransfer ke rekening BRI (BRITAMA / SIMPEDES).
4. Permohonan program hanya dapat dilakukan oleh Pemegang Kartu Utama (basic).
5. Bank BRI berhak meminta dokumen tambahan jika diperlukan. 
6. Bank BRI berhak untuk membatalkan atau menunda permohonan dalam hal Pemegang Kartu Kredit tidak memenuhi syarat & ketentuan Program.
7. Pelunasan maju :
a. Pemegang Kartu dapat melakukan pelunasan awal atas angsuran cicilan sebelum jangka waktu cicilan berakhir.
b. Permohonan pelunasan di awal dapat menghubungi Contact BRI 1500017.
c. Terhadap pelunasan di awal (maju), Pemegang Kartu wajib membayar penuh sisa cicilan + bunga + pinalti.
d. Apabila pemegang kartu menunggak > 2 bulan berturut-turut, proses installment dapat dibatalkan oleh pihak Bank dan sisa cicilan akan dibebankan secara penuh + bunga cicilan yang belum di tagihkan.
e. Atas pelunasan awal tersebut, pemegang kartu akan dikenakan biaya pinalti sebesar 1% dari sisa pokok.",2024-01-15 00:00:00,2024-03-31 00:00:00
Kavling Siap Bangun,2024-06-15 07:54:51,Kavling Siap Bangun,"Program Kavling Siap Bangun
Memfasilitasi nasabah BRI dalam mendapatkan pembiayaan untuk pembelian tanah kavling yang dijual oleh perorangan (bukan atas nama perusahaan).",Periode Program : 1 April s/d 31 Juli 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :	
a. Fixed Income
b. Non-Fixed Income
c. Pekerja tetap PT. BRI (persero) Tbk,yang tertera pada bristars dan dibuktikan saat pengajuan kredit

2. Ketentuan:	
a. Status hukum objek yang dapat dibiayai adalah hanya Sertifikat Hak MIlik an perorangan
b. Debitur wajib menyampaikan RAB pembangunan
c. Objek pembiayaan (tanah cavling) wajib mulai dibangun dalam jangka waktu 12 bulan sejak realisasi kredit
d. Khusus pekerja tetap BRI, skema angsuran dapat dilayani dengan KPP regular maupun Super
e. Pada perjanjuan kredit wajib mencantumkan klausul yang mewajibkan debitur melakukan pembangunan paling lambat 12 bulan sejak dilakukan akad kredit, jika tidak terpenuhi, Debitur wajib melakukan pelunasan.

3. Suku Bunga Kredit:	
Target Market : 	
a. Pembelian tanah hunian dengan Sertifikat Hak Milik a.n perorangan 
b. Bunga 7,50% fixed 5 tahun dengan minimal tenor 10 tahun selanjutnya floating rate dengan maksimal plafond Rp5M

4. Biaya Biaya
a. Item Provisi dengan Biaya 0.5% dari plafond kredit.
b. Item Administrasi dengan Biaya 0.1% dari plafond kredit.",2024-06-15 00:00:00,2024-07-31 00:00:00
BRILiaN Next Leader Program (BNLP),2024-03-27 15:38:27,BRILiaN Next Leader Program (BNLP),BRILiaN Next Leader Program (BNLP) adalah program perekrutan yang dibuka oleh BRI untuk menjaring kandidat potensial yang bersumber dari internal Perusahaan untuk menjadi pemimpin / leader BRI di masa depan.,,"Persyaratan BRILiaN Next Leader Program :
1. Kandidat minimal lulusan S1 dari Perguruan Tinggi Negeri/Swasta.
2. Usia maksimal 35 tahun (belum berulang tahun ke-36 pada batas akhir pendaftaran)
3. Pekerja Tetap BRI yang menduduki jabatan minimal JG 04 dan maksimal JG 08.
4. Masa kerja aktif minimal 3 (tiga) tahun (sejak diangkat sebagai Pegawai Tetap).
5.Penilaian Kinerja (SMK) 2 (dua) tahun terakhir "" Baik "" minimal 2.75 dengan salah satunya mendapat predikat ""Sangat Baik""
6.Tidak sedang dalam Indikasi Kasus dan belum pernah dijatuhi Hukuman Disiplin.
7. Direkomendasi Pemimpin Unit Kerja (Pekerja Kanwil, Kanca, KCP, dan BRI Unit direkomendasi oleh Regional CEO; Pekerja AIW direkomendasi oleh Kepala AIW; Pekerja KCK direkomendasi oleh Pemimpin Cabang Khusus; Pekerja Kantor Pusat direkomendasi oleh Division Head).
8.Bersedia menjalani ikatan dinas.
9.Bersedia ditempatkan di seluruh Unit Kerja BRI (Surat Pernyataan).
10.Tidak memiliki tunggakan kewajiban (pinjaman, kartu kredit, denda penalty baik pribadi maupun suami / istri).
11. Peserta BRILiaN Next Leader Program yang telah dinyatakan lulus akan menjalani masa ikatan dinas selama 3 (tiga) tahun. Apabila mengundurkan diri sebelum ikatan dinas berakhir maka wajib membayar denda sebesar Rp.200.000.000,- (dua ratus juta rupiah) dengan perhitungan proporsional sebagai berikut : (jumlah bulan sisa ikatan dinas / 36 bulan) X Rp.200.000.000,-
12. Periode Rekrutmen BRILiaN Next Leader Program: Sesuai Kebutuhan Perusahaan.",,
BRILiaN Banking Officer Program (BBOP),2024-03-27 15:38:27,BRILiaN Banking Officer Program (BBOP),"BRILiaN Banking Officer Program (BBOP) adalah program perekrutan Pekerja Tetap bagi seluruh Unit Kerja BRI, yang bertujuan untuk memenuhi formasi jabatan dengan Corporate Tittle Assistant (JG03 s.d. JG05).",,"1. Persyaratan Kandidat BRILiaN Banking Officer Program
Sumber Eksternal
a. Untuk Golongan Jabatan JG 3
- Pendidikan Setara Program D.1 s.d D.4 dari Universitas / Perguruan Tinggi akreditasi diutamakan “A”, dengan IPK min 2,75 (skala 4).
- Usia maksimal 22 tahun (belum berulang tahun ke-23 pada saat seleksi awal).
- Surat Keterangan Catatan Kepolisian (SKCK).
- Bersedia ditempatkan di seluruh Unit Kerja BRI.
- Diutamakan berdomisili di Unit Kerja setempat.

b. Untuk Golongan Jabatan JG 4 dan JG 5 :
- Diutamakan Pendidikan S.1 dari Universitas / Perguruan Tinggi akreditasi diutamakan “A”, dengan IPK min 2.75 (skala 4).
- Untuk lulusan D.3 usia maksimal 22 tahun (belum berulang tahun ke-23 pada saat seleksi awal),
- lulusan S.1/D.4 usia maksimal 25 tahun (belum berulang tahun ke-26 pada saat seleksi awal).
- Surat Keterangan Catatan Kepolisian (SKCK).
- Bersedia ditempatkan di seluruh Unit Kerja BRI.
- Diutamakan berdomisili di Unit Kerja setempat.

2. Sumber Internal (Pekerja Tetap, Kontrak, Ousourcing Penugasan BRI, Peserta Magang)
- Pendidikan minimal D.3 untuk JG 3, dan diutamakan S.1 untuk JG 4 dan JG 5, tidak mensyaratkan nilai IPK, dan Akreditasi Universitas/Jurusan Peserta.
- Usia maksimal 36 tahun (belum berulang tahun ke-37 pada saat seleksi awal).
- Direkomendasi oleh Pemimpin Unit Kerja.
- Masa Kerja Efektif (MKE) minimal 1 (satu) tahun.
- Penilaian Kinerja selama 1 (satu) tahun terakhir minimal 2,75.
- Tidak memiliki Tunggakan Kewajiban (Denda Ikatan Dinas, Pinjaman Pekerja, Briguna, Kartu Kredit dan Koperasi, baik Pekerja Ybs. dan/atau kewajiban suami/istri di BRI, termasuk tunggakan kewajiban di Instansi lain).
- Dalam 1 (satu) tahun terakhir tidak dikenakan Hukuman Disiplin atau tidak sedang dalam indikasi kasus/masa penundaan promosi akibat Hukuman Disiplin telah berakhir.
- Bersedia di tempatkan di seluruh Unit Kerja BRI.

3.  Masa Ikatan Dinas BRILiaN Banking Officer Program
a. Pekerja yang mengajukan pengunduran diri selama dalam jangka waktu kontrak, wajib membayar ganti rugi kepada Perusahaan sebesar Upah x Sisa Masa Kontrak yang belum dijalani.

b. Pekerja yang telah diangkat sebagai Pekerja Tetap dan mengajukan pengunduran diri dalam masa ikatan dinas, wajib membayar ganti rugi kepada Perusahaan yang berlaku proporsional dengan perhitungan sebagai berikut :
a. Pinalti JG 3 dan 4.
Jumlah sisa bulan ikatan dinas/ 36 bulan x Rp 50.000.000,-
b. Pinalti JG 5.
Jumlah sisa bulan ikatan dinas/ 36 bulan x Rp 75.000.000,-

4. Periode Rekrutmen BBOP dilaksanakan 3 (tiga) kali dalam setahun yaitu:
a. Periode 1 : Januari - Februari
b. Periode 2 : Mei - Juni
c. Periode 3 : September - Oktober

5. Periode Pendidikan dilaksanakan 3 (tiga) kali dalam setahun yaitu:
a. Periode 1 : Maret
b. Periode 2 : Juli
c. Periode 3 : November",2024-01-01 00:00:00,2024-02-29 00:00:00
BRILIAN INTERNSHIP PROGRAM,2024-03-27 15:38:27,BRILIAN INTERNSHIP PROGRAM,"Program Pemagangan ""BRILIAN INTERNSHIP PROGRAM"" dilaksanakan untuk jabatan
Teller dan Customer Service yang sekarang menjadi Universal Banker dimana di dalamnya terdapat 3 tahap yaitu :
1. Universal Banker level Basic
2. Universal Banker level Intermediate
3. Universal Banker level Advance","Bantuan Peningkatan Kompetensi BRILiaN Internship Program
Peserta BIP diberikan bantuan peningkatan kompetensi dalam bentuk finansial (cash) dengan rincian sbeagai berikut :
1. Basic : Rp. 12.500.000,-
2. Intermediate : Rp. 15.500.000,-
3. Advance : Rp. 17.500.000,-

Bantuan peningkatan kompetensi diberikan kepada peserta magang yang telah berakhir masa periode program pemagangan dan telah dievaluasi oleh unit kerja","Persyaratan BRILiaN Internship Program
1. Pendidikan :
- SMA / SMK dengan nilai rata-rata 7,0
- D1-S1 dengan IPK min 2,75
2. Usia :
- SMA : minimal 18 tahun dan maksimal 20 tahun (belum berusia 21 tahun saat mengikuti seleksi)
- D1-S1 :maksimal 24 tahun (belum berusia 25 tahun saat mengikuti seleksi)
3. Diutamakan fresh graduate
4. Belum menikah & tidak menikah selama periode pemagangan
5. Memiliki communication skill yang baik dan berpenampilan menarik
6. Diutamakan berdomisili di wilayah Unit kerja setempat
7. Memiliki KTP, NPWP dan SKCK",,
Petugas Bansos,2024-03-27 15:38:27,Petugas Bansos,Pekerja Outsourcing BRI yang mempunyai tugas menyalurkan Bantuan Sosial.,,"ersyaratan Petugas Bansos
1. Usia minimal 21 tahun dan maksimal 27 tahun (belum berulang tahun ke 28 pada saat seleksi awal)
2. Laki-laki
3. Pendidikan D3, semua jurusan/fakultas terakreditasi dan IPK minimal 2,75
4. Sehat jasmani dan rohani dengan melampirkan surat keterangan sehat dari Dokter/Rumah Sakit
5. Surat Keterangan Catatan Kepolisian (SKCK)
6. Berdomisili di wilayah setempat
7. Memenuhi kreiteria tambahan sebagai berikut:
- Mampu berkomunikasi dengan baik dan lancar
- Dapat mengoperasikan komputer (minimal MS. Office)
- Dapat mengendarai dan memiliki sepede motor dilengkapi SIM C",,
BRIguna Brilian,2024-06-15 04:35:52,BRIguna Brilian,"Program BRIguna Brilian
Program BRIguna dalam rangka meningkatkan portofolio OS dan Debitur Briguna khususnya Pekerja BRI.",Periode Program : 1 April s/d 30 Juni 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :
a. Pekerja BRI (Tetap/Organik)
b. Pekerja BRI Group (Tetap/Organik)
c. Pekerja BRI Dapen Group (Tetap/Organik)

2. Suku Bunga Kredit
a. Segmen : Take Over, Baru, Suplesi
b. Jangka Waktu : s/d 15 tahun
c. Suku Bunga Kredit : 10.00%

3. Biaya Provisi dan Administrasi Khusus
a. Biaya Provisi Take Over : Free*
b. Biaya Provisi Baru : 0.5% x Plafond
c. Biaya Provisi Suplesi : 0.75% x plafond
d. Biaya Administrasi Take over : Free*
d. Biaya administrasi s/d 200 juta : Rp. 100.000
e. Biaya Administrasi >200 s/d 500 Juta : Rp. 200.000
f. Biaya Administrasi >500 Juta : Rp. 300.000",2024-06-15 00:00:00,2024-06-30 00:00:00
BRILiaN Banking Officer Program (BBOP),2024-03-27 15:38:27,BRILiaN Banking Officer Program (BBOP),"BRILiaN Banking Officer Program (BBOP) adalah program perekrutan Pekerja Tetap bagi seluruh Unit Kerja BRI, yang bertujuan untuk memenuhi formasi jabatan dengan Corporate Tittle Assistant (JG03 s.d. JG05).",,"1. Persyaratan Kandidat BRILiaN Banking Officer Program
Sumber Eksternal
a. Untuk Golongan Jabatan JG 3
- Pendidikan Setara Program D.1 s.d D.4 dari Universitas / Perguruan Tinggi akreditasi diutamakan “A”, dengan IPK min 2,75 (skala 4).
- Usia maksimal 22 tahun (belum berulang tahun ke-23 pada saat seleksi awal).
- Surat Keterangan Catatan Kepolisian (SKCK).
- Bersedia ditempatkan di seluruh Unit Kerja BRI.
- Diutamakan berdomisili di Unit Kerja setempat.

b. Untuk Golongan Jabatan JG 4 dan JG 5 :
- Diutamakan Pendidikan S.1 dari Universitas / Perguruan Tinggi akreditasi diutamakan “A”, dengan IPK min 2.75 (skala 4).
- Untuk lulusan D.3 usia maksimal 22 tahun (belum berulang tahun ke-23 pada saat seleksi awal),
- lulusan S.1/D.4 usia maksimal 25 tahun (belum berulang tahun ke-26 pada saat seleksi awal).
- Surat Keterangan Catatan Kepolisian (SKCK).
- Bersedia ditempatkan di seluruh Unit Kerja BRI.
- Diutamakan berdomisili di Unit Kerja setempat.

2. Sumber Internal (Pekerja Tetap, Kontrak, Ousourcing Penugasan BRI, Peserta Magang)
- Pendidikan minimal D.3 untuk JG 3, dan diutamakan S.1 untuk JG 4 dan JG 5, tidak mensyaratkan nilai IPK, dan Akreditasi Universitas/Jurusan Peserta.
- Usia maksimal 36 tahun (belum berulang tahun ke-37 pada saat seleksi awal).
- Direkomendasi oleh Pemimpin Unit Kerja.
- Masa Kerja Efektif (MKE) minimal 1 (satu) tahun.
- Penilaian Kinerja selama 1 (satu) tahun terakhir minimal 2,75.
- Tidak memiliki Tunggakan Kewajiban (Denda Ikatan Dinas, Pinjaman Pekerja, Briguna, Kartu Kredit dan Koperasi, baik Pekerja Ybs. dan/atau kewajiban suami/istri di BRI, termasuk tunggakan kewajiban di Instansi lain).
- Dalam 1 (satu) tahun terakhir tidak dikenakan Hukuman Disiplin atau tidak sedang dalam indikasi kasus/masa penundaan promosi akibat Hukuman Disiplin telah berakhir.
- Bersedia di tempatkan di seluruh Unit Kerja BRI.

3.  Masa Ikatan Dinas BRILiaN Banking Officer Program
a. Pekerja yang mengajukan pengunduran diri selama dalam jangka waktu kontrak, wajib membayar ganti rugi kepada Perusahaan sebesar Upah x Sisa Masa Kontrak yang belum dijalani.

b. Pekerja yang telah diangkat sebagai Pekerja Tetap dan mengajukan pengunduran diri dalam masa ikatan dinas, wajib membayar ganti rugi kepada Perusahaan yang berlaku proporsional dengan perhitungan sebagai berikut :
a. Pinalti JG 3 dan 4.
Jumlah sisa bulan ikatan dinas/ 36 bulan x Rp 50.000.000,-
b. Pinalti JG 5.
Jumlah sisa bulan ikatan dinas/ 36 bulan x Rp 75.000.000,-

4. Periode Rekrutmen BBOP dilaksanakan 3 (tiga) kali dalam setahun yaitu:
a. Periode 1 : Januari - Februari
b. Periode 2 : Mei - Juni
c. Periode 3 : September - Oktober

5. Periode Pendidikan dilaksanakan 3 (tiga) kali dalam setahun yaitu:
a. Periode 1 : Maret
b. Periode 2 : Juli
c. Periode 3 : November",2024-09-01 00:00:00,2024-10-31 00:00:00
"BRIguna Karya ASTRI,BUMN,BUMD",2024-06-14 07:12:29,"BRIguna Karya ASTRI,BUMN,BUMD","Program BRIguna Karya ASTRI, BUMN GROUP & BUMD
Program pemasaran BRIguna yang diperuntukkan untuk calon debitur atau debitur eksisting di lingkup Instansi/Lembaga Pemerintah/Perusahaan BUMN Grup/Perusahaan BUMD.",Periode Program : 1 April s/d 30 Juni 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :	
a. Aparatur Sipil Negara (PNS Tetap dan CPNS)
b. Anggota TNI & POLRI
c. Karyawan Tetap BUMN dan Group
d. Karyawan BUMD

2. Kredit Debitur ASTRI & BUMN Grup		
a. Prime Customer  : Min. 10.00%
b. Loyalty Customer (suplesi)  : Min. 10.75%

3. Kredit Debitur BUMD
a.  Prime Customer : Min. 11.00%
b. Loyalty Customer (suplesi) : Min. 12.00%

4. Kuota Program
a. Kriteria Debitur : ASTRI & BUMN
b. Prime Customer Special Rate : Rp. 3.500 Milyar
c. Prime Customer Reguler Rate : Rp. 1.500 Milyar
d. Loyalty Customer Special Rate* : Rp. 2.500 Milyar
e. Loyalty Customer Reguler Rate  : Rp. 5.500 Milyar

5. Biaya Provisi dan Admistrasi Khusus
a. Biaya Provisi Take Over Baru : 0,5% x Plafond
b. Biaya Provisi Suplesi : 0.75% x Plafond
c. Biaya Administrasi Take Over s/d 200 Juta : Rp. 100.000
d. Biaya administrasi Take Over >200 s/d 500 Juta : Rp. 200.000
e. Biaya administrasi Take Over >500 Juta : Rp. 300.000",2024-06-14 00:00:00,2024-06-30 00:00:00
