No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Detail BRICare,Unnamed: 58,external_id,Cleaned Team Name,Level 1 Escalation Team,Level 2 Escalation Team,Level 3 Escalation Team,Level 4 Escalation Team
67.0,2701,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Pembatalan Autodebet Kartu Kredit,Nasabah Mengajukan Pembatalan Autodebet Kartu Kredit,0.0,,1,"1. surat pernyataan
2. ktp
3. kartu kredit",No Change,,Medium,6 ~ 10,8.0,3.0,,T3.1 - CDD(CLF-1 DATAM),1.0,,,3.0,,4.0,3.0,Done,KKD-CRI-DATAM,,,,1C,Credit & Digital Lending,"Nasabah mengajukan /pembatalan autodebet
 Nomor Rekening :
 Atas Nama :
 Jenis pembayaran :minimum/full payment
 Email nasabah :
 
 Copy month profile pchi
 Dokumen yang dibutuhkan surat pernyataan, copy KTP, Kartu kredit",,2701,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
68.0,2702,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintan Pengalihan Dana ( Over Booking kartu Kredit BRI),Nasabah Mengajukan Pengalihan Dana/Over Booking Kartu kredit,0.0,,0,,No Change,,Low,3 ~ 5,2.0,3.0,,T3.1 - CDD(OPE ITEM),1.0,,,3.0,,4.0,3.0,Done,KKD-OPS-ITEM,,,,1C,Credit & Digital Lending,"Nasabah mengajukan pengalihan dana	
Nominal : ... ( b/s cycle )	
Alasan :	
Nomor kartu kredit tujuan :	
Tolong bantuannya untuk tindak lanjut.	
Copy PCHI	",,2702,T3.1-CDD(OPEITEM),T3.1-CDD(OPEITEM),,,
69.0,2703,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Informasi & Pendaftaran Autopayment Kartu Kredit,Nasabah Mengajukan Pendaftaran Autopayment Kartu Kredit,0.0,,1,"1. ktp
2. kartu kredit
3. Form Pendaftaran Auto Payment",No Change,,Medium,6 ~ 10,6.0,4.0,"Add new call type: information pendaftaran autopayment, sekaligus membuat Call type 1102",T3.1 - CDD(OPE LKK),1.0,,,4.0,,5.0,4.0,Done,KKD-OPS-LKK,,,,1C,Credit & Digital Lending,"Nasabah menanyakan informasi autopayment
 CSR informasikan
 
 Nasabah mengajukan pendaftaran autopayment
 Jenis autopayment : ( PLN/Telkom/Simpati/ ……)
 Nomor id pelanggan :
 Atas Nama :
 Tanggal cetak tagihan yang akan dibayarkan :
 Email nasabah :
 
 Dokumen yang dibutuhkan formulir pendaftaran autopayment: copy KTP dan Kartu Kredit
 
 Copy month profile pchi",,2703,T3.1-CDD(OPELKK),T3.1-CDD(OPELKK),,,
70.0,2704,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Pembatalan Autopayment Kartu Kredit,Nasabah Mengajukan Pembatalan Autopayment Kartu Kredit,0.0,,1,"1. surat pernyataan
2. ktp
3. kartu kredit",No Change,,Low,3 ~ 5,3.0,4.0,,T3.1 - CDD(OPE LKK),1.0,,,4.0,,5.0,4.0,Done,KKD-OPS-LKK,,,,1C,Credit & Digital Lending,"Nasabah mengajukan pembatalan autopayment
 Jenis autopayment : ( PLN/Telkom/Simpati/ ……)
 Nomor id pelanggan :
 Nama pelanggan :
 Alamat email :
 Dokumen yang dikirimkan nasabah surat pernyataan, KTP dan Kartu kredit
 
 Copy month profile pchi",,2704,T3.1-CDD(OPELKK),T3.1-CDD(OPELKK),,,
71.0,2705,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Pengembalian Dana Ke Rekening BRI,Nasabah Mengajukan Pengembalian Dana (Refund) ke BRI atas Pembayaran Kartu Kredit,0.0,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. Buku Tabungan halaman depan",No Change,,Medium,6 ~ 10,6.0,3.0,,"T3.1 - CDD (OPE ITEM), Include POD(MSR)",1.0,,,5.0,,6.0,5.0,Done,KKD-AKK-ACQPR,,,,1C,Credit & Digital Lending,"Nasabah mengajukan refund
 Nominal : ... ( b/s cycle )
 Alasan :
 Nomor Rekening tujuan : (Nama Bank)+ nomor rekening ...
 A/n :
 Email nasabah :
 Nasabah setuju dengan pembebanan biaya sebesar Rp. ...
 
 Dokumen yang dibutuhkan untuk kelebihan pembayaran : fotocopy Kartu kredit BRI, KTP dan buku tabungan halaman depan serta surat pernyataan/ permohonan bermaterai
 
 Tolong bantuannya untuk tindak lanjut.
 Copy PCHI",,2705,"T3.1-CDD(OPEITEM),POD(MSR)",T3.1-CDD(OPEITEM),POD - Mass Service,,
72.0,2706,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Pengembalian Dana Ke Rekening Bank Lain,Nasabah Mengajukan Pengembalian Dana (Refund) ke Bank Lain atas Pembayaran Kartu Kredit,0.0,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. Buku Tabungan halaman depan",No Change,,Medium,6 ~ 10,7.0,3.0,,"T3.1 - CDD (OPE ITEM), Include POD(MSR)",1.0,,,5.0,,6.0,5.0,Done,KKD-OPS-ITEM,,,,1C,Credit & Digital Lending,"Nasabah mengajukan refund
 Nominal : ... ( b/s cycle )
 Alasan :
 Nomor Rekening tujuan : (Nama Bank)+ nomor rekening ...
 A/n :
 Email nasabah :
 Nasabah setuju dengan pembebanan biaya sebesar Rp. ...
 
 Dokumen yang dibutuhkan untuk kelebihan pembayaran : fotocopy Kartu kredit BRI, KTP dan buku tabungan halaman depan serta surat pernyataan/ permohonan bermaterai
 
 Tolong bantuannya untuk tindak lanjut.
 Copy PCHI",,2706,"T3.1-CDD(OPEITEM),POD(MSR)",T3.1-CDD(OPEITEM),POD - Mass Service,,
73.0,2800,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Transaction,Pembayaran Tagihan Kartu Kredit Belum Masuk,Nasabah Komplain Pembayaran Tagihan Kartu Kredit Belum Masuk,0.0,,1,1. Screen Shot bukti pembayaran,No Change,,Low,3 ~ 5,4.0,3.0,,T3.1 - CDD(OPE ITEM),1.0,,,4.0,,5.0,4.0,Done,KKD-OPS-ITEM,,,,1C,Credit & Digital Lending,"Nasabah melakukan pembayaran tagihan KK BRI
 Tagihan bulan : … ( b/s cycle )
 Tanggal : …
 Nominal : Rp. …
 Melalui : ( BRImo, terminal ATM, teller )
 Dokumen yang dibutuhkan : bukti transaksi
 Email nasabah :
 Keterangan tambahan: ( jika tidak ada, field ini dikosongkan )
 Sudah dilakukan pengecekan, namun pembayaran belum diterima.
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 
 Salin screen PCHI (screen yang menunjukkan pembayaran terakhir)",,2800,T3.1-CDD(OPEITEM),T3.1-CDD(OPEITEM),,,
74.0,2802,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Transaction,Autodebet di Kartu Kredit (Pembayaran tagihan kartu kredit dari tabungan),Nasabah Komplain Pembayaran Auto Debet Kartu Kredit dari Tabungan Tidak Berhasil,0.0,,0,,No Change,,Low,3 ~ 5,2.0,4.0,,"T3.1 - CDD(OPE LKK), T3.2- CDD(OPE ITEM)",1.0,,,2.0,,4.0,3.0,Done,KKD-OPS-ITEM,,,,1B,Credit & Digital Lending,"Nasabah mengajukan complain autodebet ( tidak didebet/ terdebet …. Kali )
 Nomer Rekening :
 Atas Nama :
 Jenis pembayaran :minimum/full payment
 Catat informasi dari nasabah (saldo tersedia/tidak)
 Mohon ditindaklanjuti terima kasih
 Copy month profile",,2802,"T3.1-CDD(OPELKK),T3.2-CDD(OPEITEM)",T3.1-CDD(OPELKK),T3.2-CDD(OPEITEM),,
75.0,2804,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Transaction,Autopayment di Kartu Kredit ( Gagal autopayment),Nasabah Komplain Pembayaran Autopayment Kartu Kredit Tidak Berhasil,0.0,,0,,No Change,,Low,3 ~ 5,2.0,4.0,,T3.1 - CDD(OPE ITEM),1.0,,,3.0,,4.0,3.0,Done,KKD-OPS-LKK,,,,1B,Credit & Digital Lending,"Nasabah melaporkan gagal autopayment
 Jenis autopayment :
 Nomer id pelanggan :
 Jumlah :
 Atas Nama :
 Tanggal cetak tagihan yang akan dibayarkan :
 Keterangan:
 Mohon ditindaklanjuti
 Copy month profile",,2804,T3.1-CDD(OPEITEM),T3.1-CDD(OPEITEM),,,
76.0,3100,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Inquiry,Informasi Penutupan Kartu Kredit,"Nasabah Menanyakan Terkait Cara, Syarat & Ketentuan Penutupan Kartu Kredit",0.0,,0,,Move to Resolution Center,,Very Low,0 ~ 2,0.0,0.0,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,0.0,Done,LCC-CCTCALL,,,,1A,Credit & Digital Lending,"Nasabah menanyakan cara penutupan kartu kredit
 Alasan tutup kartu kredit :
 Saran/edukasi/probing yang disampaikan :
 Copy month profile & cur bal",,3100,T1-CCT/Frontliner,,,,
77.0,3200,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Penutupan Kartu Kredit Tambahan,Nasabah Mengajukan Penutupan Kartu Kredit Tambahan,0.0,,0,,No Change,,Low,3 ~ 5,2.0,1.0,,T3.1 - CDD(CLF-1 DATAM),1.0,,,2.0,,3.0,2.0,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penutupan kartu kredit tambahan
 Alaan tutup kartu kredit :
 Probing yang dilakukan : …..
 
 Cantumkan alamat E-mail yang terdaftar (jika nasabah meminta surat keterangan Lunas atau surat penutupan Kartu).
 
 Mohon tindaklanjut
 Copy month profile & cur bal",,3200,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
78.0,3202,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Penutupan Kartu Kredit tanpa Anti Attrition, tidak ada tagihan",Nasabah Mengajukan Penutupan Kartu Kredit Tanpa Ada Tagihan,0.0,,0,,No Change,,Very Low,0 ~ 2,1.0,1.0,,T3.1 - CDD(CLF-1 DATAM),1.0,,,1.0,,2.0,1.0,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penutupan kartu kredit
 Alasan tutup kartu kredit
 Saran/edukasi/probing yang sudah disampaikan: …..
 
 Cantumkan alamat E-mail yang terdaftar (jika nasabah meminta surat keterangan Lunas atau surat penutupan Kartu).
 
 Mohon tindaklanjut
 Copy month profile & cur bal",,3202,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
79.0,3203,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Penutupan Kartu Kredit tanpa Anti Attrition, ada tagihan","Nasabah Mengajukan Penutupan Kartu Kredit, Namun Ada Tagihan",0.0,,0,,No Change,,Medium,6 ~ 10,6.0,3.0,Move GIC,"T3.1 - CDD(OPE ITEM), T3.2 - CDD(CLF-1 DATAM)",1.0,,,5.0,,8.0,7.0,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penutupan kartu kredit
 Alasan tutup kartu kredit
 Sudah sarankan/edukasi/probing : …..
 
 Cantumkan alamat E-mail yang terdaftar (jika nasabah meminta surat keterangan Lunas atau surat penutupan Kartu).
 
 Mohon tindaklanjut
 Copy month profile & cur bal",ok,3203,"T3.1-CDD(OPEITEM),T3.2-CDD(CLF-1DATAM)",T3.1-CDD(OPEITEM),T3.2-CDD(CLF-1DATAM),,
80.0,3204,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Penutupan Kartu Kredit tanpa Anti Attrition (tidak ada tagihan, ada Asuransi)",Nasabah Mengajukan Penutupan Kartu Kredit Namun Masih Terdaftar Asuransi,0.0,,0,,No Change,,Extremely High,21 ~ 70,21.0,3.0,,"T3.1 - CDD (SPD SCD), T3.2 - CDD(CLF-1 DATAM), Include Insurance Company",1.0,,,8.0,,11.0,10.0,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penutupan kartu kredit
 Alasan tutup kartu kredit
 Sudah sarankan/edukasi/probing : …..
 Nomor telpon Nsb yg dapat dihubungi atau Ch keberatan dihubungi kembali karena ….
 
 Cantumkan alamat E-mail yang terdaftar (jika nasabah meminta surat keterangan Lunas atau surat penutupan Kartu).
 
 Mohon tindaklanjut
 Copy month profile & cur bal",,3204,"T3.1-CDD(SPDSCD),T3.2-CDD(CLF-1DATAM),InsuranceCompany",T3.1-CDD(SPDSCD),T3.2-CDD(CLF-1DATAM),,
81.0,3205,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Penutupan Kartu Kredit tanpa Anti Attrition (ada tagihan, ada asuransi)",Nasabah Mengajukan Penutupan Kartu Kredit Namun Masih Terdaftar Asuransi dan Ada Tagihan,0.0,,0,,No Change,,Very Low,0 ~ 2,0.0,3.0,New Case Type -,"T3.1 - CDD(SPD SCD), T3.2 - CDD(CLF-1 DATAM), Include Insurance Company",1.0,,,8.0,,11.0,10.0,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penutupan kartu kredit
 Alasan tutup kartu kredit
 Sudah sarankan/edukasi/probing : …..
 
 Cantumkan alamat E-mail yang terdaftar (jika nasabah meminta surat keterangan Lunas atau surat penutupan Kartu).
 
 Mohon tindaklanjut
 Copy month profile & cur bal",,3205,"T3.1-CDD(SPDSCD),T3.2-CDD(CLF-1DATAM),InsuranceCompany",T3.1-CDD(SPDSCD),T3.2-CDD(CLF-1DATAM),,
82.0,4200,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Informasi dan Permintaan Pin baru Kartu Kredit,Nasabah Mengajukan PIN Baru Kartu Kredit,0.0,,0,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,0.0,0.0,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,0.0,Done,KKD-RMG-PIN,,,,1A,Credit & Digital Lending,"Nasabah pengajuan PIN
 Alasan pengajuan PIN :
 Respon di WBS :
 User WBS yang digunakan :
 Copy Month Profile (PCHI)
 Copy status pengajuan PIN dari PCMH (untuk pin mailer)",,4200,T1-CCT/Frontliner,,,,
83.0,4201,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Copy Billing Statement Kartu Kredit,Nasabah Mengajukan Copy Billing Statement Kartu Kredit,0.0,,0,,No Change,,Very Low,0 ~ 2,1.0,0.0,,"T3.1 - CDD(OPE Delivery), T2.1 - CRS, Include Vendor",1.0,1.0,,4.0,,6.0,5.0,Done,KKD-OPS-DELIVERY,,,,1B,Credit & Digital Lending,"Nasabah melakukan permintaan Copy BS
 Alasan :
 Periode bulan :
 Alamat email/ nomor fax :
 Salin status kartu kredit (screen PCHI)",,4201,"T3.1-CDD(OPEDelivery),T2.1-CRS,Vendor",T3.1-CDD(OPEDelivery),T2.1-CRS,,
84.0,4202,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Cetak Kartu Kredit Baru,Nasabah Mengajukan Pencetakan Kartu Kredit Baru Karena Perubahan BIN atau Salah Nama,0.0,,1,"1. surat pernyataan
2. ktp
3. kartu kredit",No Change,,Medium,6 ~ 10,6.0,3.0,,T3.1 - CDD(CLF-1 DATAM),1.0,,,3.0,,4.0,3.0,Done,KKD-CRI-DATAM,,,,1C,Credit & Digital Lending,"Merujuk TT (calltype 4203 perubahan data) :
 Mohon bantuan untuk penggantian kartu kredit karena nasabah sudah resign dari BRI
 Alamat pengiriman baru :
 Email nasabah :
 Terima kasih.
 
 Salin status kartu kredit (month profile, screen PCHI)",,4202,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
85.0,4203,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Perubahan Data Nasabah Kartu Kredit,Nasabah Mengajukan Perubahan Data Nasabah Kartu Kredit,1.0,"1. Alamat Rumah/Kantor
2. NPWP
3. No TLP Rumah/Kantor
4. No TLP Emergency Contact
5. Emergency Contact Name",0,,No Change,,Medium,6 ~ 10,5.0,3.0,"Sub: Alamat Rumah/Kantor, NPWP, No TLP Rumah/Kantor, No TLP Emergency Contact, Emergency Contact Name",T3.1 - CDD(CLF-1 DATAM),1.0,,,3.0,,4.0,3.0,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penggantian alamat kantor/rumah karena ….
 
 Alamat kantor/rumah lama:
 Alamat kantor/rumah baru:
 Nomor telp kantor/rumah baru:
 Alamat email untuk kirim dokumen :
 Alasan diteruskan ke Back Office :
 
 Dokumen yang dibutuhkan foto copy kartu kredit tampak depan, foto copy KTP yang masih berlaku (hapus jika tidak dibutuhkan)
 
 Mohon bantuannya. Terima kasih.
 
 Salin status kartu kredit (month profile, screen PCHI)
 
 Update NPWP
 Nasabah mendaftarkan NPWP dengan nomor : …..
 Salin status kartu kredit (month profile, screen PCHI)
 Salin PCIC (sebelum dan sesudah maintenance)",,4203,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
86.0,4204,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Perubahan Tanggal Cetak, tgl lahir, Nama Ibu Kandung Nasabah Kartu Kredit","Nasabah Mengajukan Perubahan Tanggal Cetak, Tanggal Lahir, Nama Ibu Kandung, Nomor HP/Nomor Telepon",1.0,"1. Tanggal Cetak, Tanggal Lahir, Nama Ibu Kandung
2. Nomor HP/Telepon",1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. KK/akta lahir",No Change,,Medium,6 ~ 10,6.0,3.0,Tidak digabung dengan 4203 karena beda bagian tim DATAM yang menangani,T3.1 - CDD(CLF-1 DATAM),1.0,,,3.0,,4.0,3.0,Done,KKD-CRI-DATAM,,,,1C,Credit & Digital Lending,"Nasabah mengajukan penggantian tanggal cycle/ tanggal lahir/ nama ibu kandung
 Alasan ubah tanggal cycle :
 Tanggal lahir/ nama ibu kandung yang di system :
 Tanggal lahir/ nama ibu kandung yang disebutkan:
 Alamat email untuk kirim dokumen :
 Sudah disampaikan untuk kirim dokumen
 Tolong bantuannya untuk tindak lanjut.
 Dokumen yang dibutuhkan : surat pernyataan, foto copy kartu kredit tampak depan, foto copy KTP /paspor yang masih berlaku, akte kelahiran (hapus yang tidak diperlukan)
 Terima kasih.
 
 Salin status kartu kredit (month profile, screen PCHI)",,4204,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
87.0,4207,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Perubahan Alamat Penagihan Kartu Kredit (tanpa ubah data),Nasabah Mengajukan Perubahan Alamat Penagihan Kartu Kredit (tanpa ubah data),0.0,,0,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,3.0,Khusus permintaan dari BRImo,T3.1 - CDD(CLF-1 DATAM),1.0,,,3.0,,4.0,3.0,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,"Nasabah mengajukan penggantian alamat pengiriman tagihan dari rumah/kantor menjadi rumah/kantor karena ….
 Alamat lama:
 Alamat baru:
 Terima kasih.
 
 Salin status kartu kredit (month profile, screen PCHI)
 Salin screen PCIC (sebelum dan sesudah maintenance)",,4207,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
88.0,4208,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Pendaftaran E-statement untuk Kartu Kredit,Nasabah Mengajukan Pendaftaran E-statement untuk Kartu Kredit,0.0,,0,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,0.0,1.0,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,0.0,Done,KKD-CRI-DATAM,,,,1A,Credit & Digital Lending,"Nasabah mengajukan registrasi e-statement
 Alamat email :
 Salin screen PCHI
 Salin screen PCIC (sebelum dan sesudah maintenance)
 
 Nasabah mengajukan perubahan alamat e-statement
 Alamat email lama :
 Alamat email baru :
 Salin Screen PCHI
 Salin screen PCIC (sebelum dan sesudah maintenance)",,4208,T1-CCT/Frontliner,,,,
89.0,4211,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pendaftaran Nomor Ponsel Kartu Kredit tambahan untuk Transaksi 3D secure,Nasabah Mengajukan Pendaftaran 3D Secure Kartu Kredit,0.0,,0,,No Change,,Very Low,0 ~ 2,0.0,0.0,,T3.1 - CDD(ACU OTO),1.0,,,1.0,,2.0,1.0,Done,KKD-RMG-OTO,,,,1B,Credit & Digital Lending,"Nasabah mengajukan pendaftaran no Hanphone ke 3d Secure :
 No Handphone CH : ………………………………… (Sesuai cardlink)
 Alasan pendaftaran :
 Sudah dilakukan pengecekan ke Team Leader : (nama TL)
 No handphone belum terdaftar 3d secure
 
 Salin status kartu kredit (month profile, screen PCHI)",,4211,T3.1-CDD(ACUOTO),T3.1-CDD(ACUOTO),,,
90.0,4212,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Perubahan alamat dan data nasabah Kartu Kredit melalui Telesales,Nasabah Mengajukan Perubahan Alamat & Data Nasabah Kartu Kredit Melalui Telesales CDD,0.0,,0,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,11.0,,"T1 - Telesales, T3.1 - CDD(CLF-1 DATAM)",1.0,,,3.0,,4.0,3.0,Done,KKD-CRI-DATAM,,,,1B,Credit & Digital Lending,xxx,,4212,"T1-Telesales,T3.1-CDD(CLF-1DATAM)",T1-Telesales,T3.1-CDD(CLF-1DATAM),,
91.0,4213,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Perubahan Data Nasabah kartu Kredit Penghasilan < 10 Juta,Nasabah Mengajukan Perubahan Data Gaji / Penghasilan,0.0,,1,"1. surat pernyataan
2. ktp
3. kartu kredit
4. Slip Gaji",Move to Resolution Center,,Medium,6 ~ 10,5.0,15.0,Proposed to merge with 4204,T3.1 - CDD(CLF-1 DATAM),1.0,,,3.0,,4.0,3.0,Done,KKD-CRI-DATAM,,,,1C,Credit & Digital Lending,"Nasabah mengajukan perubahan data penghasilan
 Alasan:
 
 Alamat email untuk kirim dokumen :
 CSR sarankan mengirim dokumen Surat pernyataan perubahan data penghasilan, foto copy kartu kredit tampak depan, foto copy KTP, data penghasilan/SPT
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 Salin status kartu kredit (month profile, screen PCHI)",,4213,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
92.0,4215,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Inquiry,Terima kode OTP namun tidak melakukan transaksi Kartu Kredit,Nasabah/Non-Nasabah BRI Melaporkan Terima OTP Namun Tidak Melakukan Transaksi,0.0,,0,,Move to Resolution Center,Move to CCT,Very High,16 ~ 20,15.0,0.0,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,0.0,Done,KKD-RMG-INVEST,,,,1A,Credit & Digital Lending,"Nasabah infokan menerima kode OTP namun tidak merasa melakukan transaksi.
 
 Detail Transaksi:
 
 Agent sudah infokan:",,4215,T1-CCT/Frontliner,,,,
93.0,4216,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Tidak terima sms/email Notifikasi kartu Kredit,Nasabah Komplain Tidak Terima SMS/Email Notifikasi Transaksi Kartu Kredit,0.0,,0,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,0.0,Menunggu konfirmasi OLA dari OTO,T3.1 - CDD(ACU OTO),1.0,,,1.0,,2.0,1.0,Done,KKD-RMG-INVEST,,,,1B,Credit & Digital Lending,"Ch komplain tidak terima sms/email notifikasi
 alamat email :
 No hp :
 tanggal transaksi :
 Nama merchant :
 Nominal transaksi :
 sejak kapan tidak terima sms/email notifikasi :
 Apakah sebelumnya pernah terima sms notifikasi : ( tidak pernah/kadang2 terima notifikasi)
 
 Informasi tambahan :
 Untuk kartu kredit BRI JCB Platinum saat ini belum dapat menerima sms notifikasi.
 Solusi tambahan :
 ""Notifikasi transaksi kartu kredit bisa diterima juga apabila Bapak/Ibu sudah menggunakan aplikasi BRI Credit Card Mobile""",,4216,T3.1-CDD(ACUOTO),T3.1-CDD(ACUOTO),,,
94.0,4218,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Tunggalisasi CIF KK-BRImo ( Complain terkait penggunaan CC sebagai sumber dana QRIS ),Nasabah Mengajukan Pendaftaran Kartu Kredit Sebagai Metode Pembayaran QRIS di BRImo,0.0,,0,,No Change,,Extremely High,21 ~ 70,20.0,14.0,"Notes: WI perlu di update, Menunggu Proses Tunggalisasi data Kartu Kredit & BRImo",T3.1 - CDD(CLF-1 DATAM),1.0,,,3.0,,4.0,3.0,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,"Nasabah melaporkan kartu kredit BRI belum terdaftar di aplikasi BRImo
 
 Data kartu kredit nasabah dengan data rekening sudah match namun belum tidak muncul di BRImo :
 No Customer Number KK : (Cek di PCIH dengan tulisan CUST NUMBER 001)
 No CIF :
 No. Rekening Simpanan BRI :
 User ID BRImo :
 Nomor KTP di cardlink :
 DOB di Cardlink :
 Nomor KTP di Rekening :
 DOB di di Rekening :
 
 Mohon tindaklanjut, terima kasih.
 (Copy 24 month Profile PCHI)",,4218,T3.1-CDD(CLF-1DATAM),T3.1-CDD(CLF-1DATAM),,,
95.0,4304,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Transaction,Komplain Akurasi Jumlah Tagihan (produk kartu kredit),Nasabah Komplain Jumlah Tagihan Kartu Kredit Tidak Akurat,0.0,,0,,No Change,,Medium,6 ~ 10,7.0,6.0,,T3.1 - CDD(OPE ITEM),1.0,,,6.0,,7.0,6.0,Done,KKD-OPS-ITEM,,,,1B,Credit & Digital Lending,"Nasabah menyakan Akurasi Jumlah tagihan
 Tagihan bulan : ... ( b/s cycle )
 Alasan:
 
 Copy PCHI",,4304,T3.1-CDD(OPEITEM),T3.1-CDD(OPEITEM),,,
96.0,4305,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Pengiriman Kartu Kredit,Nasabah Komplain Kartu Kredit Belum Diterima,0.0,,0,,,,Low,3 ~ 5,3.0,5.0,"Notes: View DTS yang lebih detail perlu diberikan ke CCT, Butuh perpanjangan SLA","T3.1 - CDD(OPE Delivery), Include Vendor",1.0,,,10.0,,11.0,10.0,Done,KKD-OPS-DELIVERY,,,,1B,Credit & Digital Lending,"Nasabah melaporkan belum terima kartu baru/perpanjangan/pergantian
 Informasi pengiriman :
 Alamat pengiriman :
 Mohon bantuannya. Terima kasih
 
 Copy status pengiriman dari aplikasi DTS
 Copy PCHI",,4305,"T3.1-CDD(OPEDelivery),Vendor",T3.1-CDD(OPEDelivery),,,
